"codloc","IN_TRI","PE_TRI","Residual_T","Residual_C","Residual_R","Residual_D","Residual_LV","Residual_LP","vivPos"
"1.18.6",3,0,275,14,1,15,0,2,1
"1.18.7",0,1,182,11,1,17,6,2,1
"1.18.7A",0,0,9,2,1,3,0,0,0
"1.18.8",0,0,50,0,0,3,0,0,0
"1.18.9",3,4,138,5,3,15,2,1,2
"1.18.9A",0,0,15,5,3,28,0,0,0
"1.21.1",0,0,32,0,0,0,0,0,0
"1.21.8",0,0,47,0,0,0,0,0,0
"1.22.5",0,0,32,0,0,0,0,0,0
"1.22.6",0,0,35,4,5,0,0,1,0
"1.22.7",0,0,125,14,13,5,0,1,0
"1.23.1",0,5,110,17,10,11,0,7,1
"1.23.10",0,20,60,20,5,14,0,1,1
"1.23.13",0,0,59,3,2,5,1,0,0
"1.23.14",0,0,273,24,14,8,0,3,0
"1.23.15",0,0,87,7,3,13,1,0,0
"1.23.16",0,10,65,7,6,10,0,0,1
"1.23.17",0,5,110,25,3,10,0,1,1
"1.23.18",0,0,82,9,2,12,0,0,0
"1.23.2",0,0,40,5,1,7,0,5,0
"1.23.20",0,0,36,5,0,39,0,0,0
"1.23.24",0,0,3,1,0,0,0,0,0
"1.23.25",0,0,17,6,1,8,0,0,0
"1.23.27",0,0,9,4,0,3,0,0,0
"1.23.3",0,0,41,1,1,2,0,1,0
"1.23.30",0,0,8,5,0,4,0,1,0
"1.23.4",0,0,67,2,8,11,0,2,0
"1.23.5",0,0,65,2,4,9,1,0,0
"1.23.8",0,12,7,1,0,2,0,0,1
"1.23.9",0,0,164,6,13,8,0,4,0
"1.24.1",0,1,481,71,104,72,23,17,1
"1.24.10",0,0,198,9,18,17,3,3,0
"1.24.11",0,0,110,7,0,1,0,1,0
"1.24.12",0,0,13,2,3,1,0,0,0
"1.24.13",0,0,42,4,3,8,0,3,0
"1.24.13A",0,0,18,1,0,10,1,0,0
"1.24.14",1,0,119,6,2,12,1,1,1
"1.24.2",5,1,162,6,5,21,9,0,2
"1.24.3",9,1,168,3,0,14,7,1,7
"1.24.3A",0,0,10,1,0,4,0,0,0
"1.24.4",0,0,125,5,0,11,4,1,0
"1.24.5",9,89,571,12,12,28,2,13,10
"1.24.6",2,4,119,0,3,1,3,1,4
"1.24.8",17,16,129,5,3,17,2,2,5
"1.24.9",0,0,22,3,1,9,0,1,0
"1.25.1",1,4,846,34,62,12,0,6,5
"1.25.10",0,0,270,26,27,13,1,6,0
"1.25.12",3,3,151,22,5,2,0,2,3
"1.25.13",19,5,326,19,10,17,0,3,5
"1.25.14",2,10,161,2,3,20,0,1,3
"1.25.14A",0,0,17,0,0,10,0,0,0
"1.25.15",0,0,13,3,1,0,0,1,0
"1.25.16",0,0,22,8,2,4,0,0,0
"1.25.17",0,0,119,17,3,17,1,2,0
"1.25.18",0,0,85,7,2,3,0,0,0
"1.25.19",0,0,57,7,3,6,0,0,0
"1.25.2",0,0,174,4,7,2,0,0,0
"1.25.20",0,0,65,4,2,2,0,1,0
"1.25.21",0,0,252,5,17,10,1,1,0
"1.25.22",0,0,107,18,18,2,0,1,0
"1.25.25",0,0,233,16,26,33,0,3,0
"1.25.26",11,4,1430,178,40,1157,12,6,4
"1.25.26A",0,0,15,5,0,40,2,0,0
"1.25.3",0,7,1052,49,17,10,0,10,4
"1.25.32",6,0,41,3,4,20,1,0,2
"1.25.34",0,10,95,27,8,11,0,1,1
"1.25.35",16,23,45,14,6,4,0,0,6
"1.25.37",0,0,6,3,0,4,0,0,0
"1.25.3A",0,0,11,0,2,0,0,0,0
"1.25.4",1,21,237,11,9,6,0,1,3
"1.25.41",0,0,30,2,1,5,0,0,0
"1.25.44",0,1,257,21,30,19,0,2,1
"1.25.45",2,25,244,71,78,10,2,9,6
"1.25.4A",13,10,310,14,23,6,0,0,3
"1.25.5",0,0,115,2,7,10,5,2,0
"1.25.6",0,11,109,13,12,3,0,0,1
"1.25.7",0,10,43,8,2,11,0,3,1
"1.25.8",0,0,43,18,8,1,0,2,0
"1.25.9",0,0,48,2,2,8,0,3,0
"1.26.10",0,0,65,2,0,3,0,0,0
"1.26.11",0,6,76,7,3,3,0,2,1
"1.26.12",0,0,25,5,1,1,0,0,0
"1.26.13",0,0,27,3,0,1,0,1,0
"1.26.3",0,0,27,4,3,4,1,1,0
"1.26.4",0,0,155,4,1,2,0,1,0
"1.26.5",0,0,252,7,2,5,1,8,0
"1.26.6",0,10,78,16,0,13,0,5,1
"1.26.8",0,0,46,3,1,1,1,4,0
"1.26.9",0,2,74,5,0,0,0,6,1
"1.28.3",0,0,81,33,11,81,0,6,0
"1.3.2",0,0,14,0,0,0,0,0,0
"1.3.20",0,4,50,0,0,0,0,0,1
"1.3.34",0,0,122,0,0,0,0,0,0
"1.3.36",1,0,592,0,0,0,0,0,1
"1.3.37",3,0,273,0,0,0,0,0,2
"1.3.39",32,90,1061,0,0,0,0,0,8
"1.3.40",0,0,272,0,0,0,0,0,0
"1.3.43",5,37,589,0,0,0,0,0,4
