UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,
1.25.32.32,0,0,21/08/2006,1,0,0,0,1,0,0,,NO ESTA EN EL GENERAL
1.25.32.33,0,0,21/08/2006,1,0,0,0,1,0,0,,NO ESTA EN EL GENERAL
1.25.32.125,0,0,24/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.126,0,0,22/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.127,1,0,22/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.128,0,0,22/08/2006,1,0,0,0,1,0,0,,NO ESTA EN EL GENERAL
1.25.32.129,0,0,21/08/2006,1,0,0,0,1,0,0,,NO ESTA EN EL GENERAL
1.25.32.130,0,0,21/08/2006,1,0,0,1,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.131,0,0,21/08/2006,1,0,0,0,1,0,0,,NO ESTA EN EL GENERAL
1.25.32.132,0,3,22/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.133,0,0,21/08/2006,1,0,0,1,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.134,0,0,21/08/2006,1,0,0,1,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.135,0,0,21/08/2006,1,0,0,0,1,0,0,,NO ESTA EN EL GENERAL
1.25.32.136,0,0,24/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.137,0,0,24/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.138,0,0,21/08/2006,1,0,0,1,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.139,0,0,21/08/2006,1,0,0,1,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.140,0,0,24/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.141,0,0,22/08/2006,1,0,0,1,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.142,0,0,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.143,0,0,22/08/2006,1,0,1,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.144,0,0,21/08/2006,1,0,0,0,1,0,0,,NO ESTA EN EL GENERAL
1.25.32.145,0,0,21/08/2006,1,0,0,1,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.146,0,0,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.147,0,0,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.148,0,0,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.149,0,0,07/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.150,0,0,07/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.151,0,0,07/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.152,8,0,07/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.153,0,4,07/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.154,0,1,07/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.155,1,1,09/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.156,0,0,22/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.157,0,0,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.158,0,0,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.159,3,0,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.160,11,0,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.161,0,0,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.162,10+,0,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.163,0,10+,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.164,0,0,21/08/2006,1,0,0,0,1,0,0,,NO ESTA EN EL GENERAL
1.25.32.165,0,0,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.166,0,0,22/08/2006,1,0,0,1,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.167,0,0,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.168,0,0,21/08/2006,1,0,0,1,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.169,0,0,22/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.170,0,0,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.32.171,0,0,21/08/2006,1,1,0,0,0,0,0,,NO ESTA EN EL GENERAL
1.25.1.444A,0,0,22/05/2006,2,1,0,0,0,0,0,,
1.25.1.811A,0,0,30/05/2006,2,1,0,0,0,0,0,,
1.25.6.1,0,0,01/08/2006,2,1,0,0,0,0,0,,
1.25.6.19,0,0,01/08/2006,2,1,0,0,0,0,0,,
1.25.3.204A,0,0,18/07/2006,2,1,0,0,0,0,0,,
1.25.8.66A,0,0,10/08/2006,2,1,0,0,0,0,0,,
1.25.4A.533,0,0,14/09/2006,2,1,0,0,0,0,0,,
1.25.10.300,0,0,21/11/2006,2,1,0,0,0,0,0,,ACTUALIZACION MINSA
1.25.10.301,0,0,21/11/2006,2,0,0,1,0,0,0,,ACTUALIZACION MINSA
1.25.10.302,0,0,22/11/2006,2,1,0,0,0,0,0,,ACTUALIZACION MINSA
