UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,
1.9.17A.6,0,0,22/10/2008,1,0,0,1,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.7,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.8,0,0,22/10/2008,1,0,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.9,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.10,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.11,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.12,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.13,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.14,0,0,22/10/2008,1,0,0,1,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.15,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.16,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.17,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.18,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.19,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.20,0,0,21/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.21,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.22,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.23,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.24,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.25,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.26,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.27,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.28,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.29,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.17A.30,0,0,22/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.23.842,0,0,14/10/2008,1,1,0,0,0,0,0,,
1.9.23.843,0,0,17/10/2008,1,1,0,0,0,0,0,,
1.9.23.844,0,0,17/10/2008,1,1,0,0,0,0,0,,
1.9.7.1,0,0,31/10/2008,1,0,0,1,0,0,0,,no tenemos mapa ni puntos 
1.9.7.2,0,0,31/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.7.3,0,0,03/11/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
1.9.7.4,0,0,29/10/2008,1,1,0,0,0,0,0,,no tenemos mapa ni puntos 
