UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,,,
1.13.10.1273,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1274,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1277,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1282,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1283,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1299,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1300,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1306,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1308,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1310,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1311,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1312,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1314,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1315,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1318,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1319,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1321,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1324,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1325,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1326,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
