UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,,,,
1.3.49.334,,0,09/04/2012,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.337,,0,09/04/2012,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.356,,0,09/05/2012,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.360,,0,09/05/2012,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.361,,0,09/05/2012,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.354,,0,09/05/2012,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.359,,0,09/05/2012,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.362,,0,09/05/2012,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.307,,0,09/05/2012,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.323,,0,09/16/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.321,,0,09/16/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.330,,0,09/16/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.350,,0,09/16/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.340,,0,09/16/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.341,,0,09/16/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.351,,0,09/16/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.329,,0,09/16/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.46.96,,0,09/24/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.46.90,,0,09/25/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.46.89,,0,09/25/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.46.85,,0,09/25/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.46.91,,0,09/25/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.46.92,,0,09/25/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.46.94,,0,09/25/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.46.95,,0,09/25/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.46.87,,0,09/25/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.46.97,,0,09/25/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.39.1358A,,0,10/09/2012,2,1,0,0,0,0,0,,,,,
1.3.46.88,,0,10/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.316,,0,10/31/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
