UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,
1.5.19.59,0,0,0,1,0,0,0,1,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.7,0,0,0,1,0,0,1,0,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.23.100,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 22
1.5.23.101,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 23
1.5.23.102,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 24
1.5.23.103,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 25
1.5.23.104,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 26
1.5.23.105,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 27
1.5.23.106,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 28
1.5.23.107,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 29
1.5.23.108,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 30
1.5.23.109,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 31
1.5.23.110,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 32
1.5.23.111,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 33
1.5.23.112,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 34
1.5.23.13,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 35
1.5.23.17,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 36
1.5.23.18,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 37
1.5.23.19,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 38
1.5.23.2,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 39
1.5.23.20,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 40
1.5.23.21,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 41
1.5.23.22,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 42
1.5.23.23,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 43
1.5.23.24,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 44
1.5.23.25,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 45
1.5.23.26,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 46
1.5.23.27,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 47
1.5.23.28,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 48
1.5.23.29,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 49
1.5.23.30,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 50
1.5.23.31,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 51
1.5.23.32,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 52
1.5.23.33,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 53
1.5.23.34,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 54
1.5.23.35,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 55
1.5.23.36,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 56
1.5.23.37,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 57
1.5.23.38,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 58
1.5.23.39,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 59
1.5.23.40,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 60
1.5.23.41,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 61
1.5.23.42,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 62
1.5.23.43,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 63
1.5.23.44,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 64
1.5.23.45,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 65
1.5.23.46,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 66
1.5.23.47,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 67
1.5.23.48,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 68
1.5.23.49,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 69
1.5.23.50,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 70
1.5.23.51,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 71
1.5.23.52,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 72
1.5.23.53,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 73
1.5.23.54,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 74
1.5.23.55,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 75
1.5.23.56,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 76
1.5.23.58,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 77
1.5.23.59,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 78
1.5.23.6,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 79
1.5.23.60,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 80
1.5.23.61,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 81
1.5.23.62,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 82
1.5.23.63,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 83
1.5.23.64,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 84
1.5.23.65,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 85
1.5.23.66,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 86
1.5.23.68,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 87
1.5.23.69,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 88
1.5.23.70,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 89
1.5.23.71,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 90
1.5.23.72,0,0,0,1,0,0,0,1,0,0,,correccion en csv es 91
