UNICODE;P;D;L;V;LATITUDE;LONGITUDE
1.28.3.55;1;28;3;55;-16.57238715;-71.45203889
1.28.3.56;1;28;3;56;-16.57236426;-71.45213005
1.28.3.57;1;28;3;57;-16.57230133;-71.4522727
1.28.3.58;1;28;3;58;-16.57293675;-71.4528172
1.28.3.59;1;28;3;59;-16.57221111;-71.45238767
1.28.3.60;1;28;3;60;-16.57218175;-71.45250577
1.28.3.61;1;28;3;61;-16.57217281;-71.4525992
1.28.3.62;1;28;3;62;-16.57212183;-71.45268594
1.28.3.63;1;28;3;63;-16.57199827;-71.45294784
1.28.3.64;1;28;3;64;-16.57190833;-71.45305024
1.28.3.65;1;28;3;65;-16.57192551;-71.45314091
1.28.3.66;1;28;3;66;-16.57180278;-71.45333941
1.28.3.67;1;28;3;67;-16.57174076;-71.45349254
1.28.3.68;1;28;3;68;-16.5720243;-71.45367662
1.28.3.69;1;28;3;69;-16.57281066;-71.45353637
1.28.3.70;1;28;3;70;-16.57275715;-71.45369444
1.28.3.71;1;28;3;71;-16.57259431;-71.45392181
1.28.3.72;1;28;3;72;-16.57251467;-71.45418524
1.28.3.73;1;28;3;73;-16.57209003;-71.45395482
1.28.3.74;1;28;3;74;-16.57206152;-71.45385803
1.28.3.75;1;28;3;75;-16.57168344;-71.45362268
1.28.3.76;1;28;3;76;-16.57161845;-71.45374541
1.28.3.77;1;28;3;77;-16.57168016;-71.45392921
1.28.3.78;1;28;3;78;-16.57154707;-71.45395993
1.28.3.79;1;28;3;79;-16.57150376;-71.45401978
1.28.3.80;1;28;3;80;-16.57145867;-71.45410524
1.28.3.81;1;28;3;81;-16.57143796;-71.45418611
1.28.3.82;1;28;3;82;-16.57140278;-71.45427922
1.28.3.83;1;28;3;83;-16.57137294;-71.45437034
1.28.3.84;1;28;3;84;-16.57132301;-71.45448056
1.28.3.85;1;28;3;85;-16.5712507;-71.45463583
1.28.3.86;1;28;3;86;-16.57118972;-71.45479237
1.28.3.87;1;28;3;87;-16.57168299;-71.45527417
