Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2017/05/02, 16:49:10, -16.402374, -71.511925, 2429.33,  2736.00, 59, 0, 10.32, 1
2017/05/02, 16:52:13, -16.402302, -71.511948, 2429.33,  1368.00, 56, 0, 8.37, 1
2017/05/02, 16:55:16, -16.402605, -71.511963, 2418.07,  0.00, 34, 0, 33.73, 1
2017/05/02, 16:58:19, -16.406557, -71.515778, 2394.04,  15048.00, 243, 0, 598.92, 1
2017/05/02, 16:58:22, -16.406622, -71.515831, 2394.32,  7668.00, 220, 0, 9.18, 1
2017/05/02, 17:01:28, -16.415552, -71.515366, 2408.82,  23868.00, 185, 0, 994.21, 1
2017/05/02, 17:01:31, -16.415731, -71.515396, 2408.89,  21888.00, 188, 0, 20.16, 1
2017/05/02, 17:01:34, -16.415854, -71.515419, 2409.36,  11304.00, 190, 0, 13.90, 1
2017/05/02, 17:01:37, -16.415945, -71.515434, 2409.02,  12276.00, 193, 0, 10.24, 1
2017/05/02, 17:01:40, -16.416069, -71.515465, 2408.00,  19692.00, 190, 0, 14.18, 1
2017/05/02, 17:01:43, -16.416185, -71.515480, 2407.67,  10080.00, 189, 0, 13.00, 1
2017/05/02, 17:01:46, -16.416233, -71.515495, 2407.61,  3276.00, 191, 0, 5.57, 1
2017/05/02, 17:04:50, -16.423727, -71.518982, 2367.30,  41940.00, 247, 0, 912.53, 1
2017/05/02, 17:04:53, -16.423843, -71.519272, 2366.42,  33732.00, 247, 0, 33.51, 1
2017/05/02, 17:04:56, -16.423906, -71.519447, 2364.69,  18936.00, 254, 0, 19.94, 1
2017/05/02, 17:04:59, -16.423931, -71.519524, 2363.77,  3816.00, 256, 0, 8.67, 1
2017/05/02, 17:08:03, -16.426720, -71.524315, 2343.13,  19080.00, 254, 0, 597.74, 1
2017/05/02, 17:08:06, -16.426727, -71.524513, 2342.86,  27864.00, 265, 0, 21.13, 1
2017/05/02, 17:08:09, -16.426739, -71.524765, 2342.49,  32688.00, 266, 0, 26.91, 1
2017/05/02, 17:08:12, -16.426752, -71.525040, 2342.36,  34704.00, 267, 0, 29.37, 1
2017/05/02, 17:08:15, -16.426764, -71.525314, 2342.23,  34848.00, 266, 0, 29.25, 1
2017/05/02, 17:08:18, -16.426771, -71.525589, 2342.14,  33912.00, 267, 0, 29.34, 1
2017/05/02, 17:08:21, -16.426781, -71.525848, 2342.65,  29052.00, 266, 0, 27.65, 1
