"type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime"
"WAYPOINT,1.3.99.70,-16.3243381546215,-71.53851429309354,8193497.95974521,228767.598554507, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.71,-16.32446538088421,-71.53837634311927,8193484.05831475,228782.521773737, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.72,-16.32453587116202,-71.5383028890232,8193476.35219537,228790.471707192, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.73,-16.32460464234408,-71.53824018402437,8193468.82207611,228797.270120254, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.74,-16.3246424653733,-71.53813627412947,8193464.77310734,228808.430888349, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.75,-16.32470607729576,-71.53798578328197,8193457.93109319,228824.607005434, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.76,-16.32477313136618,-71.53804669432439,8193450.42641577,228818.187744904, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.77,-16.32485393955511,-71.53808431496648,8193441.43004263,228814.277342581, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.78,-16.32492787059511,-71.5381255188351,8193433.19026339,228809.974389545, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.79,-16.32480236279944,-71.53824913779972,8193446.92054471,228796.58566056, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.80,-16.32473187235684,-71.538324383724,8193454.62429592,228788.444181213, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.81,-16.3246854525771,-71.53841933589398,8193459.63693275,228778.229187273, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.82,-16.32462012007716,-71.53848920681193,8193466.7768041,228770.669432994, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.83,-16.32498804324629,-71.53790157309953,8193426.82685059,228833.998494003, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.84,-16.32488832218876,-71.53782991370233,8193437.962396,228841.52175593, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.85,-16.32493989953979,-71.53773854435171,8193432.37396746,228851.360810542, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.86,-16.32505509466956,-71.5378245357322,8193419.50620531,228842.32671804, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.87,-16.32439051263701,-71.5378323030148,8193493.07162497,228840.579718095, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.88,-16.32433125980809,-71.53793263869586,8193499.49786144,228829.771492622, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.89,-16.32427793223254,-71.53800673194331,8193505.30306288,228821.7769119, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.90,-16.32423052993684,-71.53807156347247,8193510.46461144,228814.780635138, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.91,-16.32416238893352,-71.53815337476863,8193517.89952043,228805.940504795, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.92,-16.32409869299457,-71.53829847313757,8193524.75801236,228790.340712481, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.93,-16.32402610554966,-71.5382537106053,8193532.85378436,228795.02597986, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.94,-16.32394166723625,-71.53820123031605,8193542.27184282,228800.519981499, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.95,-16.32388389329323,-71.53814566234314,8193548.74200348,228806.380861446, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.96,-16.32399795608936,-71.53804532634008,8193536.247772,228817.264752278, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.97,-16.32405720883844,-71.53795579713201,8193529.80715459,228826.917718512, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.98,-16.32411942470557,-71.53788633433113,8193523.01176194,228834.42954073, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.99,-16.32415497547365,-71.53778600048381,8193519.20957031,228845.204889228, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.100,-16.32420385867948,-71.53769647115384,8193513.91695314,228854.843550483, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.101,-16.32431496212492,-71.53777210465096,8193501.51598297,228846.911092376, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.102,-16.32407645679131,-71.53745258770451,8193528.34636978,228880.740516362, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.103,-16.3240009094553,-71.53755292264508,8193536.57658949,228869.909898388, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.104,-16.32395202621984,-71.53763319016323,8193541.88155152,228861.261379192, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.105,-16.32389573619989,-71.53771345772462,8193548.00651439,228852.602635928, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.106,-16.3238350022445,-71.53780144319337,8193554.61318317,228843.112664756, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.107,-16.32377723090669,-71.53788634136549,8193560.89596951,228833.956825557, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.108,-16.32371205379656,-71.53803143932838,8193567.91846521,228818.355017237, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.109,-16.32363502215831,-71.53797741553363,8193576.51857873,228824.024265963, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.110,-16.32355947189026,-71.53792802248185,8193584.94852043,228829.200505742, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.111,-16.32348392149808,-71.53787708586135,8193593.38052973,228834.541767429, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.112,-16.32359205829907,-71.53774433570243,8193581.58551722,228848.882770641, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.113,-16.32364686734346,-71.53768104772745,8193575.60190054,228855.724256107, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.114,-16.323731302919,-71.5375884309929,8193566.37739118,228865.742028576, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.115,-16.32378314874176,-71.53750507631646,8193560.74854974,228874.724677597, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.116,-16.32384832717832,-71.53744024424998,8193553.61898966,228881.745521521, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.117,-16.32393572567335,-71.53735843204427,8193544.05206014,228890.612285657, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.118,-16.32366315102388,-71.53717012125212,8193574.47947721,228910.368068449, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.119,-16.32361871238401,-71.53727199896588,8193579.2636219,228899.415406219, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.120,-16.32355057128394,-71.53733837464507,8193586.71912836,228892.225454649, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.121,-16.32350316986776,-71.53743562133572,8193591.83744026,228881.763782619, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
