"type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime"
"WAYPOINT,1.28.2.8,-16.56401986330257,-71.45872222222222,8167068.57095731,237620.175702305, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.9,-16.56419398206414,-71.45897777777778,8167048.96088893,237593.126245247, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.10,-16.56402575427477,-71.45936388888889,8167067.08001204,237551.673472337, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.11,-16.5637322463799,-71.45890710414459,8167100.17029521,237600.046208619, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.12,-16.56371893468132,-71.45870732752354,8167101.90509927,237621.358180903, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.13,-16.56373611111111,-71.45857265559016,8167100.17957108,237635.760285667, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.14,-16.56370245530493,-71.45809211623921,8167104.53343985,237687.021526083, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.15,-16.56365193558329,-71.45780833333333,8167110.49707014,237717.252381483, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.16,-16.56369708436147,-71.45763776879115,8167105.72165754,237735.524592905, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.17,-16.56356691212826,-71.45732282921364,8167120.54393753,237768.974146172, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.18,-16.564375,-71.45555168892682,8167033.39644324,237959.171161892, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.19,-16.56403888888889,-71.45659626779357,8167069.24215857,237847.187648949, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.20,-16.56378985625961,-71.45694778068952,8167096.35252498,237809.319721957, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.21,-16.56376666666667,-71.45703687030617,8167098.80339689,237799.77629404, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
