"type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime"
"TRACK,1.11.1-9,-16.39138860102823,-71.52702775153442,8186090.11750661,230087.843716442,False, , ,0, , , , , , "
"TRACK,1.11.1-9,-16.3915716946081,-71.52763939920104,8186069.03307819,230022.730185857,False, , ,0, , , , , , "
"TRACK,1.11.1-10, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.1-10,-16.39150711726316,-71.52766212136844,8186076.15216308,230020.212832309,False, , ,0, , , , , , "
"TRACK,1.11.1-10,-16.39129576304919,-71.52683158600286,8186100.65664779,230108.679686984,False, , ,0, , , , , , "
"TRACK,1.11.1-10,-16.3911224288041,-71.52625632594315,8186120.61192437,230169.91811035,False, , ,0, , , , , , "
"TRACK,1.11.1-10,-16.39106831722603,-71.52605334033119,8186126.87266831,230191.536370213,False, , ,0, , , , , , "
"TRACK,1.11.1-10,-16.39105640255005,-71.52589827967582,8186128.39803223,230208.091107404,False, , ,0, , , , , , "
"TRACK,1.11.1-10,-16.39099952090497,-71.52576367039401,8186134.87444817,230222.398260165,False, , ,0, , , , , , "
"TRACK,1.11.1-10,-16.39054364215827,-71.52633479358953,8186184.5847293,230160.734556702,False, , ,0, , , , , , "
"TRACK,1.11.1-10,-16.39122228548428,-71.52777549338369,8186107.5348538,230007.704054146,False, , ,0, , , , , , "
"TRACK,1.11.1-11, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.1-11,-16.39117242726252,-71.52777501204739,8186113.05528165,230007.686728198,False, , ,0, , , , , , "
"TRACK,1.11.1-11,-16.39091339871379,-71.52727972276782,8186142.39158808,230060.26057601,False, , ,0, , , , , , "
"TRACK,1.11.1-11,-16.39061712903479,-71.52662650054459,8186176.06086888,230129.66137366,False, , ,0, , , , , , "
"TRACK,1.11.1-11,-16.39050972036927,-71.52635930001379,8186188.30758781,230158.068817305,False, , ,0, , , , , , "
"TRACK,1.11.1-11,-16.39028348423805,-71.52648482195913,8186213.18706997,230144.342529334,False, , ,0, , , , , , "
"TRACK,1.11.1-11,-16.39016224790511,-71.52654736719934,8186226.52586623,230137.491239256,False, , ,0, , , , , , "
"TRACK,1.11.1-11,-16.39092238173906,-71.52794427093184,8186140.5123853,229989.2533192,False, , ,0, , , , , , "
"TRACK,1.11.2-1, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-1,-16.39362921938808,-71.5286299050919,8185839.92609463,229919.715053298,False, , ,0, , , , , , "
"TRACK,1.11.2-1,-16.39382655329217,-71.52844309512268,8185818.32813351,229939.95127759,False, , ,0, , , , , , "
"TRACK,1.11.2-1,-16.39354711913578,-71.52816801923913,8185849.63056871,229968.96243692,False, , ,0, , , , , , "
"TRACK,1.11.2-1,-16.39331592567327,-71.52792503500318,8185875.54950654,229994.610664671,False, , ,0, , , , , , "
"TRACK,1.11.2-1,-16.39342077598356,-71.52881215435401,8185862.76004769,229899.950851192,False, , ,0, , , , , , "
"TRACK,1.11.2-2, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.2-2,-16.3952166513214,-71.52712182027535,8185666.19024783,230083.069749739,False, , ,0, , , , , , "
