"UNICODE","P","D","L","V","LATITUDE","LONGITUDE"
"1.10.2.117G",1,10,"2","117G",-16.4062990439929,-71.5133622864304
"1.10.2.1170A",1,10,"2","1170A",-16.4047294677381,-71.5062610091839
"1.10.2.1174A",1,10,"2","1174A",-16.4044636816533,-71.5061343274434
"1.10.2.1187A",1,10,"2","1187A",-16.4044578946909,-71.5050726839324
"1.10.2.1188A",1,10,"2","1188A",-16.4045178367328,-71.5050273733108
"1.10.2.1209A",1,10,"2","1209A",-16.4049992109057,-71.5051911888401
"1.10.2.1225A",1,10,"2","1225A",-16.4034680656864,-71.5062316708444
"1.10.2.1240A",1,10,"2","1240A",-16.4034737811027,-71.5057127260005
"1.10.2.1249A",1,10,"2","1249A",-16.4028500762622,-71.5066429186066
"1.10.2.1262A",1,10,"2","1262A",-16.4019537392146,-71.5068421325848
"1.10.2.1273B",1,10,"2","1273B",-16.4027966562087,-71.5063478319738
"1.10.2.1273A",1,10,"2","1273A",-16.4027966562087,-71.5063478319738
"1.10.2.1282B",1,10,"2","1282B",-16.4009973523396,-71.5075899641336
"1.10.2.1282A",1,10,"2","1282A",-16.4009973523396,-71.5075899641336
"1.10.2.1291B",1,10,"2","1291B",-16.4005223137432,-71.5081581559691
"1.10.2.1291A",1,10,"2","1291A",-16.4005223137432,-71.5081581559691
"1.10.2.1295A",1,10,"2","1295A",-16.4002523195166,-71.5083338434065
"1.10.2.1297A",1,10,"2","1297A",-16.4000002377765,-71.5084884069881
"1.10.2.1301A",1,10,"2","1301A",-16.4000013815189,-71.508003698779
"1.10.2.1302C",1,10,"2","1302C",-16.4001050132574,-71.5079145475975
"1.10.2.1302E",1,10,"2","1302E",-16.4001050132574,-71.5079145475975
"1.10.2.1302D",1,10,"2","1302D",-16.4001050132574,-71.5079145475975
"1.10.2.1303A",1,10,"2","1303A",-16.400209642267,-71.5078456768152
"1.10.2.1307A",1,10,"2","1307A",-16.4005540889225,-71.5076563631738
"1.10.2.1311A",1,10,"2","1311A",-16.4006445346446,-71.5078410620758
"1.10.2.1322A",1,10,"2","1322A",-16.3995901283015,-71.5082042474314
"1.10.2.1324A",1,10,"2","1324A",-16.3995384476997,-71.5084836478554
"1.10.2.1325A",1,10,"2","1325A",-16.3996016542848,-71.508568876588
"1.10.2.1326A",1,10,"2","1326A",-16.3996458547977,-71.508714049049
"1.10.2.133A",1,10,"2","133A",-16.4068660939379,-71.5135059704486
"1.10.2.1340A",1,10,"2","1340A",-16.398762446705,-71.5090751577853
"1.10.2.1346A",1,10,"2","1346A",-16.3988581454776,-71.508705423499
"1.10.2.1362A",1,10,"2","1362A",-16.3982973965379,-71.5095613355831
"1.10.2.1368A",1,10,"2","1368A",-16.3977168827965,-71.509431309019
"1.10.2.1370A",1,10,"2","1370A",-16.3978939037833,-71.5093343533039
"1.10.2.1378A",1,10,"2","1378A",-16.398170899028,-71.5087958415589
"1.10.2.1379A",1,10,"2","1379A",-16.3980899298273,-71.5088558700772
"1.10.2.1390B",1,10,"2","1390B",-16.3972861008786,-71.5088767148744
"1.10.2.1390A",1,10,"2","1390A",-16.3972861008786,-71.5088767148744
"1.10.2.1394A",1,10,"2","1394A",-16.3975810160161,-71.5086595172406
"1.10.2.1402A",1,10,"2","1402A",-16.3982229878465,-71.5085738005035
"1.10.2.1405A",1,10,"2","1405A",-16.3984587293597,-71.5083549922283
"1.10.2.1407A",1,10,"2","1407A",-16.3983818592033,-71.5081296670759
"1.10.2.1416A",1,10,"2","1416A",-16.3989507443725,-71.5077995751868
"1.10.2.1422A",1,10,"2","1422A",-16.3993297315219,-71.5080237828118
"1.10.2.1448A",1,10,"2","1448A",-16.3997592946755,-71.5076757951793
"1.10.2.1449A",1,10,"2","1449A",-16.3997488699892,-71.5077927901138
"1.10.2.1453A",1,10,"2","1453A",-16.4000627865849,-71.5073867866952
"1.10.2.1453B",1,10,"2","1453B",-16.4000627865849,-71.5073867866952
"1.10.2.1462A",1,10,"2","1462A",-16.4004208894294,-71.5073767055428
"1.10.2.1475A",1,10,"2","1475A",-16.4011824455079,-71.5063666123193
