"","x"
"734","1.1.87.367"
"735","1.1.87.368"
"736","1.1.87.368"
"737","1.1.87.369"
"738","1.1.87.369"
"739","1.1.87.370"
"740","1.1.87.370"
"741","1.1.87.371"
"742","1.1.87.371"
"743","1.1.87.372"
"744","1.1.87.372"
"745","1.1.87.373"
"746","1.1.87.373"
"747","1.1.87.374"
"748","1.1.87.374"
"749","1.1.87.375"
"750","1.1.87.375"
"751","1.1.87.376"
"752","1.1.87.377"
"753","1.1.87.377"
"754","1.1.87.378"
"755","1.1.87.378"
"756","1.1.87.379"
"757","1.1.87.379"
"758","1.1.87.381"
"759","1.1.87.381"
"760","1.1.87.382"
"761","1.1.87.383"
"762","1.1.87.384"
"763","1.1.87.384"
"764","1.10.10.108A"
"765","1.10.10.119A"
"766","1.10.10.121A"
"767","1.10.10.122A"
"768","1.10.10.122A"
"769","1.10.10.124A"
"770","1.10.10.125A"
"771","1.10.10.125A"
"772","1.10.10.130A"
"773","1.10.10.130A"
"774","1.10.10.135A"
"775","1.10.10.135A"
"776","1.10.10.143A"
"777","1.10.10.5A"
"778","1.10.10.5A"
"779","1.10.10.86A"
"780","1.10.10.86A"
"781","1.10.11.103A"
"782","1.10.11.103A"
"783","1.10.11.104A"
"784","1.10.11.104A"
"785","1.10.11.106A"
"786","1.10.11.106B"
"787","1.10.11.119A"
"788","1.10.11.119A"
"789","1.10.11.123A"
"790","1.10.11.138"
"791","1.10.11.139"
"792","1.10.11.141"
"793","1.10.11.142"
"794","1.10.11.145"
"795","1.10.11.149"
"796","1.10.11.149"
"797","1.10.11.156"
"798","1.10.11.156"
"799","1.10.11.158"
"800","1.10.11.29A"
"801","1.10.11.29A"
"802","1.10.11.4A"
"803","1.10.11.4A"
"804","1.10.11.58A"
"805","1.10.11.58A"
"806","1.10.11.65A"
"807","1.10.11.65A"
"808","1.10.11.66A"
"809","1.10.11.66A"
"810","1.10.11.67A"
"811","1.10.11.67A"
"812","1.10.11.98A"
"813","1.10.11.98A"
"814","1.10.11.98B"
"815","1.10.11.98B"
"816","1.10.11.98C"
"817","1.10.11.98C"
"818","1.10.12.36A"
"819","1.10.12.36A"
"820","1.10.12.55A"
"821","1.10.12.55A"
"822","1.10.13.225A"
"823","1.10.13.225A"
"824","1.10.13.279A"
"825","1.10.13.279A"
"826","1.10.13.37B"
"827","1.10.13.37D"
"828","1.10.13.75A"
"829","1.10.13.75A"
"830","1.10.13A.144A"
"831","1.10.13A.144A"
"832","1.10.13A.19A"
"833","1.10.13A.19A"
"834","1.10.13A.1A"
"835","1.10.13A.1A"
"836","1.10.13A.4A"
"837","1.10.14A.1A"
"838","1.10.14A.1A"
