"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO"
"1.7.1.53",1,7,"1","53",-16.4474068465251,-71.5616837835012,"5",NA,NA,"19/11/2003","1"
"1.7.1.54",1,7,"1","54",-16.4473303476664,-71.5616372446106,"5",NA,NA,"19/11/2003","1"
"1.7.1.54",1,7,"1","54",-16.4473303476664,-71.5616372446106,"5",NA,NA,"25/07/2004","2"
"1.7.1.55",1,7,"1","55",-16.4472733086648,-71.5615600501013,"5",NA,NA,"18/11/2003","1"
"1.7.1.55",1,7,"1","55",-16.4472733086648,-71.5615600501013,"5",NA,NA,"25/07/2004","2"
"1.7.1.56",1,7,"1","56",-16.4471914228373,-71.5614960650151,"5",NA,NA,"19/11/2003","1"
"1.7.1.56",1,7,"1","56",-16.4471914228373,-71.5614960650151,"5",NA,NA,"11/12/2004","2"
"1.7.1.57",1,7,"1","57",-16.4471372468658,-71.5614318638236,"5",NA,NA,"25/07/2004","2"
"1.7.1.57",1,7,"1","57",-16.4471372468658,-71.5614318638236,"5",NA,NA,"19/11/2003","1"
"1.7.1.58",1,7,"1","58",-16.4470422589086,-71.5613809978562,"5",NA,NA,"25/07/2004","2"
"1.7.1.58",1,7,"1","58",-16.4470422589086,-71.5613809978562,"5",NA,NA,"19/11/2003","1"
"1.7.1.59",1,7,"1","59",-16.4469586390445,-71.5612911309896,"5",NA,NA,"11/12/2004","2"
"1.7.1.59",1,7,"1","59",-16.4469586390445,-71.5612911309896,"5",NA,NA,"19/11/2003","1"
"1.7.1.6",1,7,"1","6",-16.4462469083379,-71.562193336489,"2",NA,NA,"18/11/2003","1"
"1.7.1.6",1,7,"1","6",-16.4462469083379,-71.562193336489,"2",NA,NA,"24/07/2004","2"
"1.7.1.60",1,7,"1","60",-16.4467701119948,-71.5611724813588,"6",NA,NA,"19/11/2003","1"
"1.7.1.60",1,7,"1","60",-16.4467701119948,-71.5611724813588,"6",NA,NA,"25/07/2004","2"
"1.7.1.61",1,7,"1","61",-16.4467109896304,-71.5610869369021,"6",NA,NA,"25/07/2004","2"
"1.7.1.61",1,7,"1","61",-16.4467109896304,-71.5610869369021,"6",NA,NA,"19/11/2003","1"
"1.7.1.62",1,7,"1","62",-16.4466576103238,-71.5610338610933,"6",NA,NA,"25/07/2004","2"
"1.7.1.62",1,7,"1","62",-16.4466576103238,-71.5610338610933,"6",NA,NA,"19/11/2003","1"
"1.7.1.63",1,7,"1","63",-16.4465961745969,-71.5609731299319,"6",NA,NA,"25/07/2004","2"
"1.7.1.63",1,7,"1","63",-16.4465961745969,-71.5609731299319,"6",NA,NA,"19/11/2003","1"
"1.7.1.64",1,7,"1","64",-16.4465380951311,-71.5609358602332,"6",NA,NA,"25/07/2004","2"
"1.7.1.64",1,7,"1","64",-16.4465380951311,-71.5609358602332,"6",NA,NA,"19/11/2003","1"
"1.7.1.65",1,7,"1","65",-16.4470390525459,-71.561146521371,"7",NA,NA,"25/07/2004","2"
"1.7.1.65",1,7,"1","65",-16.4470390525459,-71.561146521371,"7",NA,NA,"19/11/2003","1"
"1.7.1.66",1,7,"1","66",-16.4471163780869,-71.5612181453213,"7",NA,NA,"25/07/2004","2"
"1.7.1.66",1,7,"1","66",-16.4471163780869,-71.5612181453213,"7",NA,NA,"19/11/2003","1"
"1.7.1.67",1,7,"1","67",-16.4472135018125,-71.5612771405697,"7",NA,NA,"18/11/2003","1"
"1.7.1.67",1,7,"1","67",-16.4472135018125,-71.5612771405697,"7",NA,NA,"25/07/2004","2"
"1.7.1.68",1,7,"1","68",-16.4473042220087,-71.5613613845026,"7",NA,NA,"25/07/2004","2"
"1.7.1.68",1,7,"1","68",-16.4473042220087,-71.5613613845026,"7",NA,NA,"18/11/2003","1"
"1.7.1.69",1,7,"1","69",-16.4474060422478,-71.5614815754872,"7",NA,NA,"19/11/2003","1"
"1.7.1.69",1,7,"1","69",-16.4474060422478,-71.5614815754872,"7",NA,NA,"25/07/2004","2"
"1.7.1.7",1,7,"1","7",-16.4463515329259,-71.5622696007415,"2",NA,NA,"24/07/2004","2"
"1.7.1.7",1,7,"1","7",-16.4463515329259,-71.5622696007415,"2",NA,NA,"18/11/2003","1"
"1.7.1.70",1,7,"1","70",-16.4474721629788,-71.5615411768861,"7",NA,NA,"19/11/2003","1"
"1.7.1.70",1,7,"1","70",-16.4474721629788,-71.5615411768861,"7",NA,NA,"25/07/2004","2"
"1.7.1.71",1,7,"1","71",-16.4475732689197,-71.5614364849341,"7",NA,NA,"19/11/2003","1"
"1.7.1.71",1,7,"1","71",-16.4475732689197,-71.5614364849341,"7",NA,NA,"25/07/2004","2"
"1.7.1.72",1,7,"1","72",-16.4474793803689,-71.5613044343755,"7",NA,NA,"09/12/2004","2"
"1.7.1.72",1,7,"1","72",-16.4474793803689,-71.5613044343755,"7",NA,NA,"19/11/2003","1"
"1.7.1.73",1,7,"1","73",-16.4474104762167,-71.5612591645758,"7",NA,NA,"19/11/2003","1"
"1.7.1.73",1,7,"1","73",-16.4474104762167,-71.5612591645758,"7",NA,NA,"25/07/2004","2"
"1.7.1.74",1,7,"1","74",-16.4473431739789,-71.5611933459679,"7",NA,NA,"25/07/2004","2"
"1.7.1.74",1,7,"1","74",-16.4473431739789,-71.5611933459679,"7",NA,NA,"19/11/2003","1"
"1.7.1.8",1,7,"1","8",-16.4464502107558,-71.5623243219533,"2",NA,NA,"24/07/2004","2"
"1.7.1.8",1,7,"1","8",-16.4464502107558,-71.5623243219533,"2",NA,NA,"18/11/2003","1"
"1.7.1.9",1,7,"1","9",-16.4465431888123,-71.562414476339,"2",NA,NA,"18/11/2003","1"
"1.7.1.9",1,7,"1","9",-16.4465431888123,-71.562414476339,"2",NA,NA,"24/07/2004","2"
"1.7.10.1",1,7,"10","1",-16.4379074841693,-71.5614178572521,"1",NA,NA,"22/06/2004","2"
"1.7.10.1",1,7,"10","1",-16.4379074841693,-71.5614178572521,"1",NA,NA,"01/10/2003","1"
"1.7.10.10",1,7,"10","10",-16.438530293785,-71.5617242837594,"1","1","5","01/10/2003","1"
"1.7.10.10",1,7,"10","10",-16.438530293785,-71.5617242837594,"1",NA,NA,"21/06/2004","2"
"1.7.10.100",1,7,"10","100",-16.4403612341248,-71.5616801721233,"8",NA,NA,"08/10/2003","1"
"1.7.10.100",1,7,"10","100",-16.4403612341248,-71.5616801721233,"8",NA,NA,"25/06/2004","2"
"1.7.10.101",1,7,"10","101",-16.4399631123948,-71.5612840168836,"9",NA,NA,"28/06/2004","2"
"1.7.10.101",1,7,"10","101",-16.4399631123948,-71.5612840168836,"9",NA,NA,"07/10/2003","1"
"1.7.10.102",1,7,"10","102",-16.4398881200891,-71.5613698607574,"9",NA,NA,"07/10/2003","1"
"1.7.10.102",1,7,"10","102",-16.4398881200891,-71.5613698607574,"9",NA,NA,"28/06/2004","2"
"1.7.10.103",1,7,"10","103",-16.4398052772415,-71.5614506231478,"9",NA,"62","08/10/2003","1"
"1.7.10.103",1,7,"10","103",-16.4398052772415,-71.5614506231478,"9",NA,NA,"24/06/2004","2"
"1.7.10.104",1,7,"10","104",-16.4397440676697,-71.5613787840982,"9",NA,NA,"24/06/2004","2"
"1.7.10.104",1,7,"10","104",-16.4397440676697,-71.5613787840982,"9",NA,NA,"08/10/2003","1"
"1.7.10.105",1,7,"10","105",-16.4396922467225,-71.5613242959254,"9",NA,NA,"25/06/2004","2"
"1.7.10.105",1,7,"10","105",-16.4396922467225,-71.5613242959254,"9",NA,NA,"08/10/2003","1"
"1.7.10.106",1,7,"10","106",-16.4396129212569,-71.5612506635813,"9",NA,NA,"24/06/2004","2"
"1.7.10.106",1,7,"10","106",-16.4396129212569,-71.5612506635813,"9",NA,NA,"08/10/2003","1"
"1.7.10.107",1,7,"10","107",-16.4395495161865,-71.561153341199,"9",NA,NA,"08/10/2003","1"
"1.7.10.107",1,7,"10","107",-16.4395495161865,-71.561153341199,"9",NA,NA,"24/06/2004","2"
"1.7.10.108",1,7,"10","108",-16.4394968927824,-71.5611127677443,"9",NA,NA,"28/06/2004","2"
"1.7.10.108",1,7,"10","108",-16.4394968927824,-71.5611127677443,"9",NA,NA,"08/10/2003","1"
"1.7.10.109",1,7,"10","109",-16.4394494215842,-71.5610513404601,"9",NA,NA,"01/07/2004","2"
"1.7.10.109",1,7,"10","109",-16.4394494215842,-71.5610513404601,"9",NA,NA,"08/10/2003","1"
"1.7.10.11",1,7,"10","11",-16.4385758618986,-71.5617806491849,"1",NA,NA,"01/10/2003","1"
