"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO"
"1.28.3.134",1,28,"3","134",-16.5693141626471,-71.4534465389975,"20","",0,"10/06/2009",2
"1.28.3.135",1,28,"3","135",-16.5695722222222,-71.453272653536,"21","",0,"10/06/2009",2
"1.28.3.135",1,28,"3","135",-16.5695722222222,-71.453272653536,"21","",0,"05/19/09",1
"1.28.3.136",1,28,"3","136",-16.570067550897,-71.4533673846856,"21",NA,NA,NA,NA
"1.28.3.137",1,28,"3","137",-16.5703780126257,-71.453489696645,"21","",0,"10/12/2009",2
"1.28.3.137",1,28,"3","137",-16.5703780126257,-71.453489696645,"21","",0,"05/19/09",1
"1.28.3.138",1,28,"3","138",-16.5702916666666,-71.4536663432682,"21",NA,NA,NA,NA
"1.28.3.139",1,28,"3","139",-16.5702291333466,-71.4538570714801,"21",NA,NA,NA,NA
"1.28.3.14",1,28,"3","14",-16.5728213606546,-71.4453755894103,"5",NA,NA,NA,NA
"1.28.3.140",1,28,"3","140",-16.569626286728,-71.4526957937311,"20",NA,NA,NA,NA
"1.28.3.141",1,28,"3","141",-16.5697187272287,-71.4524953128804,"2","",0,"05/18/09",1
"1.28.3.141",1,28,"3","141",-16.5697187272287,-71.4524953128804,"2","",0,"10/13/09",2
"1.28.3.142",1,28,"3","142",-16.5697936016535,-71.452775,"21","",0,"05/18/09",1
"1.28.3.142",1,28,"3","142",-16.5697936016535,-71.452775,"21","",0,"10/12/2009",2
"1.28.3.143",1,28,"3","143",-16.570528892053,-71.4531366276291,"21","",0,"10/14/09",2
"1.28.3.143",1,28,"3","143",-16.570528892053,-71.4531366276291,"21","",0,"05/18/09",1
"1.28.3.144",1,28,"3","144",-16.5706280605739,-71.4529012848088,"2","",0,"10/07/2009",2
"1.28.3.144",1,28,"3","144",-16.5706280605739,-71.4529012848088,"2","",0,"05/18/09",1
"1.28.3.145",1,28,"3","145",-16.5707199548214,-71.4527200220026,"2","",0,"05/18/09",1
"1.28.3.146",1,28,"3","146",-16.5709375026338,-71.4523611527267,"2","",0,"10/07/2009",2
"1.28.3.146",1,28,"3","146",-16.5709375026338,-71.4523611527267,"2","",0,"05/18/09",1
"1.28.3.147",1,28,"3","147",-16.5708811451455,-71.4521795413519,"2",NA,NA,NA,NA
"1.28.3.148",1,28,"3","148",-16.5707603271416,-71.4520129049474,"2",NA,NA,NA,NA
"1.28.3.149",1,28,"3","149",-16.5706992799627,-71.4517276850019,"2",NA,NA,NA,NA
"1.28.3.15",1,28,"3","15",-16.5721102843705,-71.44887836365,"5",NA,NA,NA,NA
"1.28.3.150",1,28,"3","150",-16.5707023424637,-71.4515729091121,"2",NA,NA,NA,NA
"1.28.3.151",1,28,"3","151",-16.5705110155807,-71.4509722222222,"2","",0,"10/12/2009",2
"1.28.3.152",1,28,"3","152",-16.5709789291168,-71.4518398240068,"22",NA,NA,NA,NA
"1.28.3.153",1,28,"3","153",-16.5711804229817,-71.4522538330199,"22",NA,NA,NA,NA
"1.28.3.154",1,28,"3","154",-16.571920694753,-71.4509725874405,"23",NA,NA,NA,NA
"1.28.3.155",1,28,"3","155",-16.5720479598436,-71.4510007249718,"23",NA,NA,NA,NA
"1.28.3.156",1,28,"3","156",-16.5720437012102,-71.4511218033466,"23","",0,"10/13/09",2
