type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39280151;-71.54973008;-1940186.379;2836881.598;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.3927176;-71.54972277;-1940176.614;2836883.52;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39258148;-71.54976773;-1940160.061;2836880.197;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39225142;-71.54960427;-1940123.35;2836903.032;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39211389;-71.54992514;-1940103.159;2836868.445;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39205078;-71.5499639;-1940095.259;2836864.872;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39207481;-71.55009913;-1940096.38;2836849.227;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39280526;-71.54996442;-1940183.869;2836854.979;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Urb. Leon XIII; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Urb. Leon XIII;-16.39152212;-71.54975687;-1940035.77;2836895.237;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Urb. Leon XIII;-16.39186791;-71.54913763;-1940084.176;2836960.939;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Urb. Leon XIII;-16.39277203;-71.54955076;-1940185.172;2836902.312;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Urb. Leon XIII;-16.39270617;-71.54968464;-1940175.752;2836887.993;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Urb. Leon XIII;-16.39270615;-71.54969209;-1940175.655;2836887.148;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Urb. Leon XIII;-16.39280009;-71.5497298;-1940186.215;2836881.648;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Urb. Leon XIII;-16.39326885;-71.54962836;-1940242.549;2836887.039;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
