"","UNICODE","ESTA_CUANTIS","ESTA_SENSIS","ESTA_ESTRATEGIAS","T_Cuantis","C_Cuantis","R_Cuantis","DES_Cuantis","LV_Cuantis","LP_Cuantis","P_Sensis","RP_Sensis","C_Sensis","R_Sensis","DES_Sensis","LV_Sensis","LP_Sensis","V_Sensis","LATITUD","LONGITUD","LOCALIDAD","MZ","ESTRATEGIA","CLUSTER","CUADRUPLET","STATUS_C1_MINSA","in_tri_C1","pe_tri_C1","pos_C1","STATUS_C2_MINSA","in_tri_C2","pe_tri_C2","pos_C2","T","R","C","DES","LP","LV","P","V","STATUS","BD_MINSA","PROG_OLVIDO","FECHA_CUANTI","APERTURADA_DIA","DIAS_PRI_VISITA_TRAT","DIAS_PRI_PROG_TRAT","VIV_PROG_NUNCA_TRAT","MINUTOS_ROCIADO","ETAPA_ROCIADO","sampleA","sampleB","sampleC","sampleD","sampleE","sampleF","NUMRES","IN_AMB","ESTRATEGIA2"
"764","1.1.23.27",1,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,-16.3782965719405,-71.5302212828563,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-06-15",1,13,13,NA,32,"ataque",1,1,1,1,1,1,2,5,"Adv.Planning"
"765","1.1.23.28",1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,-16.378306966236,-71.5302848536502,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-06-03",0,0,0,NA,42,"ataque",1,1,1,1,1,1,7,16,"Adv.Planning"
"766","1.1.23.29",1,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,2,-16.3783171359424,-71.5303567583441,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"R",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-06-17",0,14,2,NA,105,"fuera de tiempo",1,1,1,1,1,0,NA,NA,"Adv.Planning"
"767","1.1.23.3",1,1,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,-16.3783845267409,-71.5315818477671,"VILLA EL CONQUISTADOR II",1,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-06-08",0,5,5,NA,48,"ataque",1,1,1,1,1,1,2,5,"Adv.Planning"
"768","1.1.23.30",1,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,-16.3783439697009,-71.5304301689601,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"R",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-07-14",1,41,0,NA,60,"fuera de tiempo",1,1,1,1,1,0,NA,NA,"Adv.Planning"
"769","1.1.23.31",1,1,1,1,0,1,0,0,0,1,0,4,3,0,0,0,0,-16.3785098822228,-71.5302511969379,"VILLA EL CONQUISTADOR II",3,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,1,1,0,0,0,0,0,1,0,0,"2015-08-02",0,54,37,NA,57,"domingos",1,1,1,1,1,1,8,12,"Adv.Planning"
"770","1.1.23.32",1,1,1,1,1,0,0,0,0,1,0,5,3,0,0,0,1,-16.3786573563182,-71.5302288698134,"VILLA EL CONQUISTADOR II",3,"Adv.Planning",10,12,"C",NA,NA,0,"T",NA,NA,0,1,1,1,0,0,0,0,0,1,0,0,"2015-08-02",0,55,20,NA,62,"domingos",1,1,1,1,1,0,NA,NA,"Adv.Planning"
"771","1.1.23.33",1,1,1,1,3,0,0,0,0,3,3,2,0,0,0,0,1,-16.378673999358,-71.5303066254981,"VILLA EL CONQUISTADOR II",3,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-06-16",1,13,6,NA,128,"fuera de tiempo",1,1,1,1,1,1,8,21,"Adv.Planning"
"772","1.1.23.34",1,1,1,1,0,0,0,0,0,2,0,5,0,0,0,0,0,-16.3786866426846,-71.5303816133019,"VILLA EL CONQUISTADOR II",3,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-06-28",0,19,2,NA,27,"domingos",1,1,1,1,1,1,3,5,"Adv.Planning"
"773","1.1.23.35",1,1,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,-16.378695160475,-71.5304535974171,"VILLA EL CONQUISTADOR II",3,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-06-16",1,7,0,NA,22,"fuera de tiempo",1,1,1,1,1,1,1,1,"Adv.Planning"
