"","UNICODE","P","D","L","V","CICLO_ROCIADO","STATUS","IN_TRI","PE_TRI"
"4548","1.1.34.587","1","1","34","587","2","T",NA,NA
"4549","1.1.34.588","1","1","34","588","1","T",NA,NA
"4550","1.1.34.588","1","1","34","588","2","T",NA,NA
"4551","1.1.34.589","1","1","34","589","1","T",NA,NA
"4552","1.1.34.589","1","1","34","589","2","C",NA,NA
"4553","1.1.34.59","1","1","34","59","1","C",NA,NA
"4554","1.1.34.59","1","1","34","59","2","C",NA,NA
"4555","1.1.34.590","1","1","34","590","1","T",NA,NA
"4556","1.1.34.590","1","1","34","590","2","T",NA,NA
"4557","1.1.34.591","1","1","34","591","1","T",NA,NA
"4558","1.1.34.591","1","1","34","591","2","C",NA,NA
"4559","1.1.34.592","1","1","34","592","1","R",NA,NA
"4560","1.1.34.592","1","1","34","592","2","R",NA,NA
"4561","1.1.34.593","1","1","34","593","1","R",NA,NA
"4562","1.1.34.593","1","1","34","593","2","R",NA,NA
"4563","1.1.34.594","1","1","34","594","1","T",NA,NA
"4564","1.1.34.594","1","1","34","594","2","T",NA,NA
"4565","1.1.34.595","1","1","34","595","1","T",NA,NA
"4566","1.1.34.595","1","1","34","595","2","T",NA,NA
"4567","1.1.34.595A","1","1","34","595A","1","T",NA,NA
"4568","1.1.34.595A","1","1","34","595A","2","T",NA,NA
"4569","1.1.34.596","1","1","34","596","1","T",NA,NA
"4570","1.1.34.596","1","1","34","596","2","T",NA,NA
"4571","1.1.34.597","1","1","34","597","1","T",NA,NA
"4572","1.1.34.597","1","1","34","597","2","T",NA,NA
"4573","1.1.34.598","1","1","34","598","1","T",NA,NA
"4574","1.1.34.598","1","1","34","598","2","T",NA,NA
"4575","1.1.34.599","1","1","34","599","1","R",NA,NA
"4576","1.1.34.599","1","1","34","599","2","C",NA,NA
"4577","1.1.34.6","1","1","34","6","1","T",NA,NA
"4578","1.1.34.6","1","1","34","6","2","T",NA,NA
"4579","1.1.34.60","1","1","34","60","1","T",NA,NA
"4580","1.1.34.60","1","1","34","60","2","T",NA,NA
"4581","1.1.34.600","1","1","34","600","1","T",NA,NA
"4582","1.1.34.600","1","1","34","600","2","T",NA,NA
"4583","1.1.34.601","1","1","34","601","1","T",NA,NA
"4584","1.1.34.601","1","1","34","601","2","T",NA,NA
"4585","1.1.34.602","1","1","34","602","1","T",NA,NA
"4586","1.1.34.602","1","1","34","602","2","T",NA,NA
"4587","1.1.34.603","1","1","34","603","1","T",NA,NA
"4588","1.1.34.603","1","1","34","603","2","T",NA,NA
"4589","1.1.34.604","1","1","34","604","1","R",NA,NA
"4590","1.1.34.604","1","1","34","604","2","T",NA,NA
"4591","1.1.34.605","1","1","34","605","1","T",NA,NA
"4592","1.1.34.605","1","1","34","605","2","T",NA,NA
"4593","1.1.34.606","1","1","34","606","1","T",NA,NA
"4594","1.1.34.606","1","1","34","606","2","T",NA,NA
"4595","1.1.34.607","1","1","34","607","1","T",NA,NA
"4596","1.1.34.607","1","1","34","607","2","T",NA,NA
"4597","1.1.34.608","1","1","34","608","1","C",NA,NA
"4598","1.1.34.608","1","1","34","608","2","C",NA,NA
"4599","1.1.34.609","1","1","34","609","1","C",NA,NA
"4600","1.1.34.609","1","1","34","609","2","T",NA,NA
"4601","1.1.34.61","1","1","34","61","1","T",NA,NA
"4602","1.1.34.61","1","1","34","61","2","T",NA,NA
"4603","1.1.34.610","1","1","34","610","1","C",NA,NA
"4604","1.1.34.610","1","1","34","610","2","T",NA,NA
"4605","1.1.34.611","1","1","34","611","1","R",NA,NA
"4606","1.1.34.611","1","1","34","611","2","C",NA,NA
"4607","1.1.34.612","1","1","34","612","1","C",NA,NA
"4608","1.1.34.612","1","1","34","612","2","C",NA,NA
"4609","1.1.34.613","1","1","34","613","1","R",NA,NA
"4610","1.1.34.613","1","1","34","613","2","R",NA,NA
"4611","1.1.34.614","1","1","34","614","1","T",NA,NA
"4612","1.1.34.614","1","1","34","614","2","R",NA,NA
"4613","1.1.34.615","1","1","34","615","1","T",NA,NA
"4614","1.1.34.615","1","1","34","615","2","T",NA,NA
"4615","1.1.34.616","1","1","34","616","1","T",NA,NA
"4616","1.1.34.616","1","1","34","616","2","T",NA,NA
"4617","1.1.34.617","1","1","34","617","1","T",NA,NA
"4618","1.1.34.617","1","1","34","617","2","T",NA,NA
"4619","1.1.34.618","1","1","34","618","1","T",NA,NA
"4620","1.1.34.618","1","1","34","618","2","T",NA,NA
"4621","1.1.34.619","1","1","34","619","1","T",NA,NA
"4622","1.1.34.619","1","1","34","619","2","T",NA,NA
"4623","1.1.34.62","1","1","34","62","1","T",NA,NA
"4624","1.1.34.62","1","1","34","62","2","T",NA,NA
"4625","1.1.34.620","1","1","34","620","1","T",NA,NA
"4626","1.1.34.620","1","1","34","620","2","T",NA,NA
"4627","1.1.34.621","1","1","34","621","1","T",NA,NA
"4628","1.1.34.621","1","1","34","621","2","R",NA,NA
"4629","1.1.34.622","1","1","34","622","1","T",NA,NA
"4630","1.1.34.622","1","1","34","622","2","T",NA,NA
"4631","1.1.34.623","1","1","34","623","1","T",NA,NA
"4632","1.1.34.623","1","1","34","623","2","T",NA,NA
"4633","1.1.34.624","1","1","34","624","1","T",NA,NA
"4634","1.1.34.624","1","1","34","624","2","C",NA,NA
"4635","1.1.34.625","1","1","34","625","1","T",NA,NA
"4636","1.1.34.625","1","1","34","625","2","C",NA,NA
"4637","1.1.34.626","1","1","34","626","1","T",NA,NA
"4638","1.1.34.626","1","1","34","626","2","T",NA,NA
"4639","1.1.34.627","1","1","34","627","1","T",NA,"4"
"4640","1.1.34.627","1","1","34","627","2","T",NA,NA
"4641","1.1.34.628","1","1","34","628","1","T",NA,NA
"4642","1.1.34.628","1","1","34","628","2","T",NA,NA
"4643","1.1.34.629","1","1","34","629","1","T",NA,NA
"4644","1.1.34.629","1","1","34","629","2","T",NA,NA
"4645","1.1.34.63","1","1","34","63","1","T",NA,NA
"4646","1.1.34.63","1","1","34","63","2","T",NA,NA
"4647","1.1.34.630","1","1","34","630","1","T",NA,NA
"4648","1.1.34.630","1","1","34","630","2","T",NA,NA
"4649","1.1.34.631","1","1","34","631","1","T",NA,NA
"4650","1.1.34.631","1","1","34","631","2","T",NA,NA
"4651","1.1.34.632","1","1","34","632","1","T",NA,NA
"4652","1.1.34.632","1","1","34","632","2","T",NA,NA
"4653","1.1.34.633","1","1","34","633","1","T",NA,NA
"4654","1.1.34.633","1","1","34","633","2","T",NA,NA
"4655","1.1.34.634","1","1","34","634","1","T",NA,NA
"4656","1.1.34.634","1","1","34","634","2","T",NA,NA
"4657","1.1.34.635","1","1","34","635","1","T",NA,NA
"4658","1.1.34.635","1","1","34","635","2","T",NA,NA
"4659","1.1.34.636","1","1","34","636","1","T",NA,NA
"4660","1.1.34.636","1","1","34","636","2","T",NA,NA
"4661","1.1.34.637","1","1","34","637","1","T",NA,NA
