"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.18.16.64",1,"18","16","64",-16.43397441,-71.59495173,"17","0","0","20/05/2005",1,0,0,1,0,0,0
"1.18.16.65",1,"18","16","65",-16.43353526,-71.59512411,"17","0","0","15/01/2006",2,0,0,0,1,0,0
"1.18.16.65",1,"18","16","65",-16.43353526,-71.59512411,"17","0","0","20/05/2005",1,0,0,1,0,0,0
"1.18.16.7",1,"18","16","7",-16.43227215,-71.59459176,"1","0","0","15/01/2006",2,0,0,0,1,0,0
"1.18.16.7",1,"18","16","7",-16.43227215,-71.59459176,"1","0","0","20/05/2005",1,0,0,1,0,0,0
"1.18.16.8",1,"18","16","8",-16.43152935,-71.59429885,"1","0","0","15/01/2006",2,0,0,0,1,0,0
"1.18.16.8",1,"18","16","8",-16.43152935,-71.59429885,"1","0","0","20/05/2005",1,0,0,0,1,0,0
"1.18.16.9",1,"18","16","9",-16.43142568,-71.59421367,"1","0","0","19/12/2005",2,1,0,0,0,0,0
"1.18.16.9",1,"18","16","9",-16.43142568,-71.59421367,"1","0","0","18/05/2005",1,1,0,0,0,0,0
"1.18.16.9A",1,"18","16","9A",-16.43124735,-71.59418393,"1","0","0","18/05/2005",1,1,0,0,0,0,0
"1.18.16.9A",1,"18","16","9A",-16.43124735,-71.59418393,"1","0","0","15/12/2005",2,1,0,0,0,0,0
"1.18.17.1",1,"18","17","1",-16.41762241,-71.59364783,"1","0","0","06/01/2006",2,0,0,0,1,0,0
"1.18.17.1",1,"18","17","1",-16.41762241,-71.59364783,"1","0","0","31/05/2005",1,0,0,0,1,0,0
"1.18.17.10",1,"18","17","10",-16.41818041,-71.59291012,"2","0","0","30/05/2005",1,1,0,0,0,0,0
"1.18.17.10",1,"18","17","10",-16.41818041,-71.59291012,"2","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.11",1,"18","17","11",-16.41822695,-71.59286097,"2","0","0","23/05/2005",1,1,0,0,0,0,0
"1.18.17.11",1,"18","17","11",-16.41822695,-71.59286097,"2","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.12",1,"18","17","12",-16.4182604,-71.59275057,"2","0","0","31/05/2005",1,0,0,0,1,0,0
"1.18.17.12",1,"18","17","12",-16.4182604,-71.59275057,"2","0","0","06/01/2006",2,0,0,0,1,0,0
"1.18.17.13",1,"18","17","13",-16.41842064,-71.59267924,"3","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.13",1,"18","17","13",-16.41842064,-71.59267924,"3","0","0","25/05/2005",1,1,0,0,0,0,0
"1.18.17.14",1,"18","17","14",-16.41851155,-71.5926325,"3","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.14",1,"18","17","14",-16.41851155,-71.5926325,"3","0","0","23/05/2005",1,1,0,0,0,0,0
"1.18.17.15",1,"18","17","15",-16.4185956,-71.59261326,"3","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.15",1,"18","17","15",-16.4185956,-71.59261326,"3","0","0","25/05/2005",1,1,0,0,0,0,0
"1.18.17.16",1,"18","17","16",-16.41869736,-71.59259343,"3","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.16",1,"18","17","16",-16.41869736,-71.59259343,"3","0","0","05/01/2006",2,1,0,0,0,0,0
"1.18.17.17",1,"18","17","17",-16.41877453,-71.59260438,"3","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.17",1,"18","17","17",-16.41877453,-71.59260438,"3","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.18",1,"18","17","18",-16.41887009,-71.59258454,"3","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.18",1,"18","17","18",-16.41887009,-71.59258454,"3","0","0","06/01/2006",2,1,0,0,0,0,0
"1.18.17.19",1,"18","17","19",-16.41895851,-71.59258866,"3","0","0","23/05/2005",1,1,0,0,0,0,0
"1.18.17.19",1,"18","17","19",-16.41895851,-71.59258866,"3","0","0","06/01/2006",2,1,0,0,0,0,0
"1.18.17.2",1,"18","17","2",-16.41766932,-71.59354876,"1","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.2",1,"18","17","2",-16.41766932,-71.59354876,"1","0","0","23/05/2005",1,1,0,0,0,0,0
"1.18.17.20",1,"18","17","20",-16.41903706,-71.59258751,"3","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.20",1,"18","17","20",-16.41903706,-71.59258751,"3","0","0","31/05/2005",1,1,0,0,0,0,0
"1.18.17.21",1,"18","17","21",-16.4191273,-71.59255498,"3","0","0","06/01/2006",2,0,0,0,1,0,0
"1.18.17.21",1,"18","17","21",-16.4191273,-71.59255498,"3","0","0","31/05/2005",1,0,0,0,1,0,0
"1.18.17.22",1,"18","17","22",-16.41921849,-71.59251804,"3","0","0","23/05/2005",1,1,0,0,0,0,0
"1.18.17.22",1,"18","17","22",-16.41921849,-71.59251804,"3","0","0","20/12/2005",2,1,0,0,0,0,0
