"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.23.14.82",1,"23","14","82",-16.45039664,-71.6150298,"5","0","0","10/02/2006",2,1,0,0,0,0,0
"1.23.14.83",1,"23","14","83",-16.45080839,-71.61458933,"6","0","0","17/02/2006",2,0,0,0,0,0,0
"1.23.14.83",1,"23","14","83",-16.45080839,-71.61458933,"6","0","0","05/08/2005",1,0,0,0,0,0,0
"1.23.14.84",1,"23","14","84",-16.45153567,-71.61440543,"6","0","0","17/02/2006",2,0,0,0,0,0,0
"1.23.14.84",1,"23","14","84",-16.45153567,-71.61440543,"6","0","0","05/08/2005",1,0,0,0,0,0,0
"1.23.14.85",1,"23","14","85",-16.45123846,-71.61482333,"6","0","0","20/07/2005",1,1,0,0,0,0,0
"1.23.14.85",1,"23","14","85",-16.45123846,-71.61482333,"6","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.14.86",1,"23","14","86",-16.45097774,-71.61465165,"6","0","0","03/08/2005",1,1,0,0,0,0,0
"1.23.14.86",1,"23","14","86",-16.45097774,-71.61465165,"6","0","0","17/02/2006",2,1,0,0,0,0,0
"1.23.14.87",1,"23","14","87",-16.45140882,-71.61512175,"7","0","0","08/02/2006",2,1,0,0,0,0,0
"1.23.14.87",1,"23","14","87",-16.45140882,-71.61512175,"7","0","0","20/07/2005",1,1,0,0,0,0,0
"1.23.14.88",1,"23","14","88",-16.45148233,-71.61504997,"7","0","0","07/02/2006",2,1,0,0,0,0,0
"1.23.14.88",1,"23","14","88",-16.45148233,-71.61504997,"7","0","0","20/07/2005",1,1,0,0,0,0,0
"1.23.14.89",1,"23","14","89",-16.45160105,-71.61491698,"7","0","0","19/07/2005",1,1,0,0,0,0,0
"1.23.14.89",1,"23","14","89",-16.45160105,-71.61491698,"7","0","0","06/02/2006",2,1,0,0,0,0,0
"1.23.14.9",1,"23","14","9",-16.45151792,-71.61633679,"2","0","0","26/07/2005",1,1,0,0,0,0,0
"1.23.14.9",1,"23","14","9",-16.45151792,-71.61633679,"2","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.14.90",1,"23","14","90",-16.45164322,-71.61482724,"7","0","0","06/02/2006",2,1,0,0,0,0,0
"1.23.14.90",1,"23","14","90",-16.45164322,-71.61482724,"7","0","0","22/07/2005",1,1,0,0,0,0,0
"1.23.14.91",1,"23","14","91",-16.45169172,-71.6147477,"7","0","0","08/02/2006",2,1,0,0,0,0,0
"1.23.14.91",1,"23","14","91",-16.45169172,-71.6147477,"7","0","0","19/07/2005",1,1,0,0,0,0,0
"1.23.14.92",1,"23","14","92",-16.45173572,-71.61467108,"7","0","0","05/08/2005",1,0,0,1,0,0,0
"1.23.14.92",1,"23","14","92",-16.45173572,-71.61467108,"7","0","0","08/02/2006",2,1,0,0,0,0,0
"1.23.14.93",1,"23","14","93",-16.45175915,-71.61458565,"7","1","0","19/07/2005",1,1,0,0,0,0,0
"1.23.14.93",1,"23","14","93",-16.45175915,-71.61458565,"7","0","0","06/02/2006",2,1,0,0,0,0,0
"1.23.14.94",1,"23","14","94",-16.45176953,-71.61449317,"7","0","0","06/02/2006",2,1,0,0,0,0,0
