"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.28.1.59",1,"28","1","59",-16.56848568,-71.43936796,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.6",1,"28","1","6",-16.56735278,-71.43794537,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.60",1,"28","1","60",-16.56829444,-71.43946612,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.61",1,"28","1","61",-16.56828681,-71.43957878,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.62",1,"28","1","62",-16.56833561,-71.43977208,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.63",1,"28","1","63",-16.56805567,-71.43980379,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.64",1,"28","1","64",-16.56793034,-71.43977482,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.65",1,"28","1","65",-16.56778656,-71.43972569,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.66",1,"28","1","66",-16.5675377,-71.43989356,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.67",1,"28","1","67",-16.56759783,-71.44003327,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.68",1,"28","1","68",-16.56780633,-71.43992721,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.69",1,"28","1","69",-16.56788372,-71.44012883,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.7",1,"28","1","7",-16.56754368,-71.43818544,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.70",1,"28","1","70",-16.56789899,-71.44066631,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
