"UNICODE","P","D","L","V","P_TRIAT","I_TRIAT","CICLO","FECHA","LATITUDE","LONGITUDE"
"1.1.87.377",1,1,"87","377",0,"",2,"10/06/2015",NA,NA
"1.1.87.378",1,1,"87","378",0,"",1,"03/17/15",NA,NA
"1.1.87.378",1,1,"87","378",0,"",2,"10/06/2015",NA,NA
"1.1.87.379",1,1,"87","379",0,"",1,"03/18/15",NA,NA
"1.1.87.379",1,1,"87","379",0,"",2,"10/05/2015",NA,NA
"1.1.87.381",1,1,"87","381",0,"",1,"03/17/15",NA,NA
"1.1.87.381",1,1,"87","381",0,"",2,"10/05/2015",NA,NA
"1.1.87.382",1,1,"87","382",0,"",1,"03/17/15",NA,NA
"1.1.87.383",1,1,"87","383",2,"",1,"03/17/15",NA,NA
"1.1.87.384",1,1,"87","384",0,"",1,"03/17/15",NA,NA
"1.1.87.384",1,1,"87","384",0,"",2,"10/02/2015",NA,NA
"1.10.11.138",1,10,"11","138",0,"",2,"05/20/12",NA,NA
"1.10.11.139",1,10,"11","139",0,"",1,"07/08/2011",NA,NA
"1.10.11.141",1,10,"11","141",0,"",2,"05/20/12",NA,NA
"1.10.11.142",1,10,"11","142",0,"",2,"04/18/12",NA,NA
"1.10.11.145",1,10,"11","145",0,"",2,"05/20/12",NA,NA
"1.10.11.149",1,10,"11","149",0,"",1,"07/11/2011",NA,NA
"1.10.11.149",1,10,"11","149",0,"",2,"05/20/12",NA,NA
"1.10.11.156",1,10,"11","156",0,"",1,"07/08/2011",NA,NA
"1.10.11.156",1,10,"11","156",0,"",2,"04/19/12",NA,NA
"1.10.11.158",1,10,"11","158",0,"",1,"07/11/2011",NA,NA
"1.12.1.100",1,12,"1","100",0,"",1,"06/02/2009",NA,NA
"1.12.1.100",1,12,"1","100",0,"",2,"10/26/09",NA,NA
"1.12.1.101",1,12,"1","101",0,"",1,"06/02/2009",NA,NA
"1.12.1.102",1,12,"1","102",0,"",1,"06/02/2009",NA,NA
"1.12.1.102",1,12,"1","102",0,"",2,"10/26/09",NA,NA
"1.12.1.103",1,12,"1","103",0,"",1,"06/02/2009",NA,NA
"1.12.1.103",1,12,"1","103",0,"",2,"10/26/09",NA,NA
"1.12.1.104",1,12,"1","104",0,"",1,"06/02/2009",NA,NA
"1.12.1.104",1,12,"1","104",0,"",2,"10/26/09",NA,NA
"1.12.1.105",1,12,"1","105",0,"",1,"06/02/2009",NA,NA
"1.12.1.105",1,12,"1","105",0,"",2,"10/26/09",NA,NA
"1.12.1.107",1,12,"1","107",0,"",1,"06/03/2009",NA,NA
"1.12.1.107",1,12,"1","107",0,"",2,"10/26/09",NA,NA
"1.12.1.108",1,12,"1","108",0,"",1,"05/26/09",NA,NA
"1.12.1.109",1,12,"1","109",0,"",1,"06/04/2009",NA,NA
"1.12.1.109",1,12,"1","109",0,"",2,"10/26/09",NA,NA
"1.12.1.110",1,12,"1","110",0,"2",1,"05/26/09",NA,NA
"1.12.1.110",1,12,"1","110",0,"",2,"10/26/09",NA,NA
"1.12.1.111",1,12,"1","111",0,"",1,"06/03/2009",NA,NA
"1.12.1.112",1,12,"1","112",0,"",2,"10/26/09",NA,NA
"1.12.1.113",1,12,"1","113",0,"",1,"05/28/09",NA,NA
"1.12.1.114",1,12,"1","114",0,"",1,"05/29/09",NA,NA
"1.12.1.121",1,12,"1","121",20,"2",1,"05/28/09",NA,NA
"1.12.1.121",1,12,"1","121",0,"",2,"10/26/09",NA,NA
"1.12.1.122",1,12,"1","122",0,"",1,"05/28/09",NA,NA
"1.12.1.122",1,12,"1","122",0,"",2,"10/26/09",NA,NA
"1.12.1.123",1,12,"1","123",0,"1",1,"06/04/2009",NA,NA
"1.12.1.123",1,12,"1","123",0,"",2,"10/27/09",NA,NA
"1.12.1.124",1,12,"1","124",0,"",1,"06/02/2009",NA,NA
"1.12.1.124",1,12,"1","124",0,"",2,"10/27/09",NA,NA
"1.12.1.125",1,12,"1","125",0,"",1,"05/29/09",NA,NA
"1.12.1.125",1,12,"1","125",0,"",2,"10/27/09",NA,NA
"1.12.1.128",1,12,"1","128",0,"",1,"05/25/09",NA,NA
"1.12.1.128",1,12,"1","128",0,"",2,"10/29/09",NA,NA
"1.12.1.129",1,12,"1","129",0,"",1,"05/29/09",NA,NA
"1.12.1.129",1,12,"1","129",0,"",2,"10/29/09",NA,NA
"1.12.1.129A",1,12,"1","129A",0,"1",1,"05/25/09",NA,NA
"1.12.1.129A",1,12,"1","129A",0,"",2,"10/29/09",NA,NA
"1.12.1.130",1,12,"1","130",0,"",1,"05/29/09",NA,NA
"1.12.1.130",1,12,"1","130",0,"",2,"10/29/09",NA,NA
"1.12.1.131",1,12,"1","131",0,"",1,"05/29/09",NA,NA
"1.12.1.131",1,12,"1","131",0,"",2,"10/29/09",NA,NA
"1.12.1.132",1,12,"1","132",0,"",1,"05/25/09",NA,NA
"1.12.1.132",1,12,"1","132",0,"",2,"10/29/09",NA,NA
"1.12.1.132A",1,12,"1","132A",0,"",2,"10/29/09",NA,NA
"1.12.1.133",1,12,"1","133",0,"",1,"06/08/2009",NA,NA
"1.12.1.133",1,12,"1","133",0,"",2,"10/29/09",NA,NA
"1.12.1.134",1,12,"1","134",0,"",1,"05/25/09",NA,NA
"1.12.1.135",1,12,"1","135",0,"",1,"05/25/09",NA,NA
"1.12.1.135",1,12,"1","135",0,"",2,"10/29/09",NA,NA
"1.12.1.136",1,12,"1","136",0,"",1,"06/08/2009",NA,NA
"1.12.1.136",1,12,"1","136",0,"",2,"10/29/09",NA,NA
"1.12.1.137",1,12,"1","137",0,"",2,"10/29/09",NA,NA
"1.12.1.139A",1,12,"1","139A",0,"",1,"05/25/09",NA,NA
"1.12.1.140",1,12,"1","140",0,"",2,"10/30/09",NA,NA
"1.12.1.141",1,12,"1","141",20,"",2,"10/30/09",NA,NA
"1.12.1.142",1,12,"1","142",0,"",2,"10/30/09",NA,NA
"1.12.1.143",1,12,"1","143",0,"",1,"06/10/2009",NA,NA
"1.12.1.143",1,12,"1","143",0,"",2,"10/30/09",NA,NA
"1.12.1.143A",1,12,"1","143A",0,"",2,"10/30/09",NA,NA
"1.12.1.144",1,12,"1","144",0,"",2,"10/30/09",NA,NA
"1.12.1.144A",1,12,"1","144A",0,"",2,"10/30/09",NA,NA
"1.12.1.145",1,12,"1","145",0,"",1,"06/10/2009",NA,NA
"1.12.1.146",1,12,"1","146",0,"",1,"06/10/2009",NA,NA
"1.12.1.147",1,12,"1","147",0,"",2,"10/29/09",NA,NA
"1.12.1.149",1,12,"1","149",0,"",2,"10/29/09",NA,NA
"1.12.1.150",1,12,"1","150",0,"",1,"05/25/09",NA,NA
"1.12.1.150",1,12,"1","150",0,"",2,"10/29/09",NA,NA
"1.12.1.150A",1,12,"1","150A",0,"",2,"10/29/09",NA,NA
"1.12.1.152",1,12,"1","152",0,"",2,"10/30/09",NA,NA
"1.12.1.153",1,12,"1","153",0,"4",1,"06/10/2009",NA,NA
"1.12.1.153",1,12,"1","153",0,"",2,"10/30/09",NA,NA
"1.12.1.155",1,12,"1","155",0,"",1,"06/10/2009",NA,NA
"1.12.1.155",1,12,"1","155",0,"",2,"10/30/09",NA,NA
"1.12.1.16",1,12,"1","16",0,"",1,"06/03/2009",NA,NA
"1.12.1.16",1,12,"1","16",0,"",2,"11/02/2009",NA,NA
"1.12.1.18",1,12,"1","18",0,"",1,"06/02/2009",NA,NA
"1.12.1.19",1,12,"1","19",0,"",1,"06/02/2009",NA,NA
"1.12.1.20",1,12,"1","20",0,"",1,"06/02/2009",NA,NA
"1.12.1.20",1,12,"1","20",0,"",2,"10/29/09",NA,NA
"1.12.1.21",1,12,"1","21",0,"",1,"05/25/09",NA,NA
"1.12.1.22",1,12,"1","22",0,"",1,"05/29/09",NA,NA
"1.12.1.22",1,12,"1","22",0,"",2,"10/30/09",NA,NA
"1.12.1.23",1,12,"1","23",0,"",1,"05/25/09",NA,NA
"1.12.1.24",1,12,"1","24",0,"",1,"05/25/09",NA,NA
"1.12.1.24",1,12,"1","24",0,"",2,"10/30/09",NA,NA
"1.12.1.25",1,12,"1","25",0,"",1,"05/25/09",NA,NA
"1.12.1.25",1,12,"1","25",0,"",2,"10/30/09",NA,NA
"1.12.1.26",1,12,"1","26",0,"",2,"10/29/09",NA,NA
"1.12.1.27",1,12,"1","27",0,"",2,"10/29/09",NA,NA
"1.12.1.30",1,12,"1","30",0,"5",1,"05/26/09",NA,NA
"1.12.1.30",1,12,"1","30",0,"",2,"10/26/09",NA,NA
"1.12.1.31",1,12,"1","31",0,"2",1,"05/29/09",NA,NA
"1.12.1.31",1,12,"1","31",0,"",2,"10/26/09",NA,NA
"1.12.1.31A",1,12,"1","31A",0,"6",1,"05/26/09",NA,NA
"1.12.1.31A",1,12,"1","31A",0,"",2,"10/26/09",NA,NA
"1.12.1.33",1,12,"1","33",0,"",1,"05/26/09",NA,NA
"1.12.1.33",1,12,"1","33",0,"",2,"10/26/09",NA,NA
"1.12.1.34",1,12,"1","34",20,"1",1,"05/26/09",NA,NA
"1.12.1.34",1,12,"1","34",0,"",2,"10/26/09",NA,NA
"1.12.1.35",1,12,"1","35",0,"1",1,"05/26/09",NA,NA
"1.12.1.35",1,12,"1","35",0,"",2,"10/26/09",NA,NA
"1.12.1.37",1,12,"1","37",0,"",1,"05/26/09",NA,NA
"1.12.1.37",1,12,"1","37",0,"",2,"10/26/09",NA,NA
"1.12.1.38",1,12,"1","38",0,"",2,"10/26/09",NA,NA
"1.12.1.39",1,12,"1","39",0,"",2,"10/26/09",NA,NA
"1.12.1.41",1,12,"1","41",0,"",2,"10/26/09",NA,NA
"1.12.1.42",1,12,"1","42",0,"",1,"05/26/09",NA,NA
"1.12.1.42",1,12,"1","42",0,"",2,"10/27/09",NA,NA
"1.12.1.43",1,12,"1","43",0,"",1,"05/26/09",NA,NA
"1.12.1.43",1,12,"1","43",0,"",2,"10/27/09",NA,NA
"1.12.1.44",1,12,"1","44",0,"",1,"05/26/09",NA,NA
"1.12.1.44",1,12,"1","44",0,"",2,"10/26/09",NA,NA
"1.12.1.45",1,12,"1","45",0,"",1,"05/26/09",NA,NA
"1.12.1.45",1,12,"1","45",0,"",2,"10/26/09",NA,NA
"1.12.1.46",1,12,"1","46",0,"",1,"05/26/09",NA,NA
"1.12.1.46",1,12,"1","46",0,"",2,"10/27/09",NA,NA
"1.12.1.47",1,12,"1","47",0,"",1,"05/26/09",NA,NA
"1.12.1.47A",1,12,"1","47A",0,"",2,"10/27/09",NA,NA
"1.12.1.48",1,12,"1","48",0,"",1,"06/02/2009",NA,NA
"1.12.1.49",1,12,"1","49",0,"",1,"06/02/2009",NA,NA
"1.12.1.50",1,12,"1","50",0,"",1,"06/02/2009",NA,NA
"1.12.1.51",1,12,"1","51",0,"",1,"06/02/2009",NA,NA
"1.12.1.52",1,12,"1","52",0,"",1,"06/02/2009",NA,NA
"1.12.1.52A",1,12,"1","52A",0,"",2,"10/28/09",NA,NA
"1.12.1.53",1,12,"1","53",0,"",1,"06/02/2009",NA,NA
"1.12.1.54",1,12,"1","54",0,"",2,"10/28/09",NA,NA
"1.12.1.57",1,12,"1","57",0,"",1,"06/02/2009",NA,NA
"1.12.1.59",1,12,"1","59",0,"",1,"06/02/2009",NA,NA
"1.12.1.60",1,12,"1","60",0,"",2,"10/28/09",NA,NA
"1.12.1.61",1,12,"1","61",0,"",1,"06/02/2009",NA,NA
"1.12.1.64",1,12,"1","64",0,"",1,"05/26/09",NA,NA
"1.12.1.65",1,12,"1","65",0,"",2,"10/28/09",NA,NA
"1.12.1.66",1,12,"1","66",0,"",1,"05/26/09",NA,NA
"1.12.1.66",1,12,"1","66",0,"",2,"10/28/09",NA,NA
"1.12.1.66A",1,12,"1","66A",0,"",2,"10/28/09",NA,NA
"1.12.1.67",1,12,"1","67",0,"",1,"05/26/09",NA,NA
"1.12.1.67",1,12,"1","67",0,"",2,"10/28/09",NA,NA
"1.12.1.68",1,12,"1","68",0,"",2,"10/28/09",NA,NA
"1.12.1.70",1,12,"1","70",0,"",1,"05/29/09",NA,NA
"1.12.1.70",1,12,"1","70",0,"",2,"10/28/09",NA,NA
"1.12.1.71",1,12,"1","71",0,"",2,"10/28/09",NA,NA
"1.12.1.72",1,12,"1","72",0,"",2,"10/28/09",NA,NA
"1.12.1.73",1,12,"1","73",0,"",1,"05/28/09",NA,NA
"1.12.1.75",1,12,"1","75",0,"",1,"05/28/09",NA,NA
"1.12.1.76",1,12,"1","76",0,"",1,"05/28/09",NA,NA
"1.12.1.77",1,12,"1","77",0,"",1,"05/28/09",NA,NA
"1.12.1.77",1,12,"1","77",0,"",2,"10/28/09",NA,NA
"1.12.1.77A",1,12,"1","77A",0,"",2,"10/27/09",NA,NA
"1.12.1.80",1,12,"1","80",0,"",1,"05/28/09",NA,NA
"1.12.1.80",1,12,"1","80",0,"",2,"10/28/09",NA,NA
"1.12.1.81",1,12,"1","81",0,"",1,"05/29/09",NA,NA
"1.12.1.81",1,12,"1","81",0,"",2,"10/27/09",NA,NA
"1.12.1.82",1,12,"1","82",0,"",2,"10/28/09",NA,NA
"1.12.1.85",1,12,"1","85",0,"",1,"06/02/2009",NA,NA
"1.12.1.85",1,12,"1","85",0,"",2,"10/27/09",NA,NA
"1.12.1.87",1,12,"1","87",0,"",1,"06/03/2009",NA,NA
"1.12.1.88",1,12,"1","88",0,"",1,"05/28/09",NA,NA
"1.12.1.88",1,12,"1","88",0,"",2,"10/27/09",NA,NA
"1.12.1.89",1,12,"1","89",0,"",1,"05/28/09",NA,NA
"1.12.1.89",1,12,"1","89",0,"",2,"10/27/09",NA,NA
"1.12.1.90",1,12,"1","90",0,"",1,"05/28/09",NA,NA
"1.12.1.90",1,12,"1","90",0,"",2,"10/27/09",NA,NA
"1.12.1.91",1,12,"1","91",0,"",2,"10/27/09",NA,NA
"1.12.1.93",1,12,"1","93",0,"",1,"05/26/09",NA,NA
"1.12.1.93",1,12,"1","93",0,"",2,"10/27/09",NA,NA
"1.12.1.94",1,12,"1","94",0,"",1,"06/02/2009",NA,NA
"1.12.1.95",1,12,"1","95",0,"",1,"06/02/2009",NA,NA
"1.12.1.95",1,12,"1","95",0,"",2,"10/27/09",NA,NA
"1.12.1.96",1,12,"1","96",0,"",2,"10/27/09",NA,NA
"1.12.1.99",1,12,"1","99",0,"",1,"06/03/2009",NA,NA
"1.12.3.126",1,12,"3","126",0,"",1,"06/16/09",NA,NA
"1.12.3.126",1,12,"3","126",0,"",2,"10/20/09",NA,NA
"1.12.3.127",1,12,"3","127",0,"",2,"10/21/09",NA,NA
"1.12.3.128",1,12,"3","128",0,"",2,"10/21/09",NA,NA
"1.12.3.130",1,12,"3","130",0,"",1,"06/15/09",NA,NA
"1.12.3.130",1,12,"3","130",0,"",2,"10/20/09",NA,NA
"1.12.3.131",1,12,"3","131",0,"",1,"06/25/09",NA,NA
"1.12.3.131",1,12,"3","131",0,"",2,"10/21/09",NA,NA
"1.12.4.182",1,12,"4","182",0,"",1,"06/11/2009",NA,NA
"1.12.4.183",1,12,"4","183",0,"",1,"06/11/2009",NA,NA
"1.12.4.184",1,12,"4","184",0,"",1,"06/11/2009",NA,NA
"1.12.4.184",1,12,"4","184",0,"",2,"10/15/09",NA,NA
"1.12.4.185",1,12,"4","185",0,"",2,"10/15/09",NA,NA
"1.12.4.187",1,12,"4","187",0,"",2,"10/16/09",NA,NA
"1.12.4.189",1,12,"4","189",0,"",1,"06/10/2009",NA,NA
"1.12.4.189",1,12,"4","189",0,"",2,"10/15/09",NA,NA
"1.12.4.191",1,12,"4","191",0,"",2,"10/15/09",NA,NA
"1.12.4.191",1,12,"4","191",0,"",1,"06/12/2009",NA,NA
"1.12.4.192",1,12,"4","192",0,"",2,"10/15/09",NA,NA
"1.12.4.192",1,12,"4","192",0,"",1,"06/12/2009",NA,NA
"1.12.4.193",1,12,"4","193",0,"",1,"06/10/2009",NA,NA
"1.12.4.193",1,12,"4","193",0,"",2,"10/15/09",NA,NA
"1.12.4.195",1,12,"4","195",0,"",1,"06/11/2009",NA,NA
"1.12.4.195",1,12,"4","195",0,"",2,"10/15/09",NA,NA
"1.12.4.196",1,12,"4","196",0,"",1,"06/11/2009",NA,NA
"1.12.4.196",1,12,"4","196",0,"",2,"10/16/09",NA,NA
"1.12.4.197",1,12,"4","197",0,"",1,"06/11/2009",NA,NA
"1.12.4.197",1,12,"4","197",0,"",2,"10/16/09",NA,NA
"1.12.4.198",1,12,"4","198",0,"",2,"10/30/09",NA,NA
"1.12.4.200",1,12,"4","200",0,"",1,"06/10/2009",NA,NA
"1.12.4.200",1,12,"4","200",0,"",2,"10/15/09",NA,NA
"1.12.4.201",1,12,"4","201",0,"",1,"06/10/2009",NA,NA
"1.12.4.202",1,12,"4","202",0,"",1,"06/12/2009",NA,NA
"1.12.4.206",1,12,"4","206",0,"",1,"06/11/2009",NA,NA
"1.12.4.206",1,12,"4","206",0,"",2,"10/15/09",NA,NA
"1.12.4.207",1,12,"4","207",0,"",2,"10/15/09",NA,NA
"1.12.4.208",1,12,"4","208",0,"",1,"06/10/2009",NA,NA
"1.12.4.208",1,12,"4","208",0,"",2,"10/15/09",NA,NA
"1.12.4.209",1,12,"4","209",0,"",1,"06/12/2009",NA,NA
"1.12.4.212",1,12,"4","212",0,"",1,"06/11/2009",NA,NA
"1.12.4.212",1,12,"4","212",0,"",2,"10/15/09",NA,NA
"1.12.4.216",1,12,"4","216",0,"",1,"06/10/2009",NA,NA
"1.12.4.217",1,12,"4","217",0,"",1,"07/12/2009",NA,NA
"1.12.4.218",1,12,"4","218",0,"",1,"06/12/2009",NA,NA
"1.12.4.219",1,12,"4","219",0,"",1,"06/11/2009",NA,NA
"1.12.4.219",1,12,"4","219",0,"",2,"10/16/09",NA,NA
"1.12.4.221",1,12,"4","221",0,"",1,"06/12/2009",NA,NA
"1.12.4.221",1,12,"4","221",0,"",2,"10/30/09",NA,NA
"1.12.4.222",1,12,"4","222",0,"",1,"06/11/2009",NA,NA
"1.12.4.223",1,12,"4","223",0,"",2,"10/30/09",NA,NA
"1.12.4.224",1,12,"4","224",0,"",2,"10/30/09",NA,NA
"1.12.4.225",1,12,"4","225",0,"",1,"06/12/2009",NA,NA
"1.12.4.225",1,12,"4","225",0,"",2,"10/30/09",NA,NA
"1.12.4.226",1,12,"4","226",0,"",2,"10/30/09",NA,NA
"1.12.4.227",1,12,"4","227",0,"",1,"06/11/2009",NA,NA
"1.12.4.227",1,12,"4","227",0,"",2,"10/30/09",NA,NA
"1.12.4.228",1,12,"4","228",0,"",1,"06/11/2009",NA,NA
"1.12.4.228",1,12,"4","228",0,"",2,"10/30/09",NA,NA
"1.12.4.229",1,12,"4","229",0,"",1,"06/11/2009",NA,NA
"1.12.4.231",1,12,"4","231",0,"",1,"06/10/2009",NA,NA
"1.12.4.231",1,12,"4","231",0,"",2,"10/16/09",NA,NA
"1.12.4.232",1,12,"4","232",0,"",2,"10/30/09",NA,NA
"1.12.4.236",1,12,"4","236",0,"",2,"10/16/09",NA,NA
"1.12.4.237",1,12,"4","237",0,"",2,"10/16/09",NA,NA
"1.12.5.122",1,12,"5","122",0,"",1,"07/10/2009",NA,NA
"1.12.5.126",1,12,"5","126",0,"",1,"06/16/09",NA,NA
"1.12.5.129",1,12,"5","129",0,"",2,"10/19/09",NA,NA
"1.12.5.136",1,12,"5","136",0,"",2,"10/19/09",NA,NA
"1.12.5.137",1,12,"5","137",0,"",2,"10/20/09",NA,NA
"1.12.5.140",1,12,"5","140",0,"",1,"07/22/09",NA,NA
"1.12.5.141",1,12,"5","141",0,"",2,"10/19/09",NA,NA
"1.12.5.142",1,12,"5","142",0,"",1,"06/16/09",NA,NA
"1.12.5.143",1,12,"5","143",0,"",1,"06/17/09",NA,NA
"1.12.5.143",1,12,"5","143",0,"",2,"10/19/09",NA,NA
"1.12.5.144",1,12,"5","144",0,"",1,"07/22/09",NA,NA
"1.12.5.144",1,12,"5","144",0,"",2,"10/19/09",NA,NA
"1.12.5.145",1,12,"5","145",0,"",1,"07/22/09",NA,NA
"1.12.5.145",1,12,"5","145",0,"",2,"10/19/09",NA,NA
"1.12.5.148",1,12,"5","148",0,"",1,"07/22/09",NA,NA
"1.12.5.148",1,12,"5","148",0,"",2,"10/20/09",NA,NA
"1.12.5.151",1,12,"5","151",0,"",1,"06/16/09",NA,NA
"1.12.5.151",1,12,"5","151",0,"",2,"10/19/09",NA,NA
"1.12.5.154",1,12,"5","154",0,"",1,"06/17/09",NA,NA
"1.12.5.154",1,12,"5","154",0,"",2,"10/19/09",NA,NA
"1.12.5.159",1,12,"5","159",0,"",1,"06/16/09",NA,NA
"1.12.5.159",1,12,"5","159",0,"",2,"10/19/09",NA,NA
"1.12.5.160",1,12,"5","160",0,"",1,"06/16/09",NA,NA
"1.12.5.160",1,12,"5","160",0,"",2,"10/19/09",NA,NA
"1.12.5.161",1,12,"5","161",0,"",1,"06/16/09",NA,NA
"1.12.5.161",1,12,"5","161",0,"",2,"10/19/09",NA,NA
"1.12.5.162",1,12,"5","162",0,"",1,"06/16/09",NA,NA
"1.12.5.162",1,12,"5","162",0,"",2,"10/19/09",NA,NA
"1.12.5.163",1,12,"5","163",0,"",1,"06/16/09",NA,NA
"1.12.5.163",1,12,"5","163",0,"",2,"10/19/09",NA,NA
"1.12.5.164",1,12,"5","164",0,"",1,"06/16/09",NA,NA
"1.12.5.164",1,12,"5","164",0,"",2,"10/19/09",NA,NA
"1.12.5.166",1,12,"5","166",0,"",1,"06/16/09",NA,NA
"1.12.5.166",1,12,"5","166",0,"",2,"10/19/09",NA,NA
"1.12.5.167",1,12,"5","167",0,"",1,"06/16/09",NA,NA
"1.12.5.168",1,12,"5","168",0,"",1,"06/16/09",NA,NA
"1.12.5.168",1,12,"5","168",0,"",2,"10/20/09",NA,NA
"1.12.5.65",1,12,"5","65",0,"",1,"07/21/09",NA,NA
"1.12.5.66",1,12,"5","66",0,"3",1,"07/21/09",NA,NA
"1.12.5.66",1,12,"5","66",0,"",2,"10/20/09",NA,NA
"1.12.6.71",1,12,"6","71",0,"",1,"06/15/09",NA,NA
"1.12.6.72",1,12,"6","72",0,"",1,"06/12/2009",NA,NA
"1.12.6.74",1,12,"6","74",0,"",1,"06/12/2009",NA,NA
"1.12.6.75",1,12,"6","75",0,"",1,"06/12/2009",NA,NA
"1.12.6.78",1,12,"6","78",0,"",1,"06/12/2009",NA,NA
"1.12.6.79",1,12,"6","79",0,"",1,"06/12/2009",NA,NA
"1.12.6.80",1,12,"6","80",0,"",1,"06/12/2009",NA,NA
"1.12.6.81",1,12,"6","81",0,"",1,"06/12/2009",NA,NA
"1.12.6.82",1,12,"6","82",0,"",1,"06/12/2009",NA,NA
"1.13.104.962",1,13,"104","962",0,"",1,"09/25/09",NA,NA
"1.13.104.963",1,13,"104","963",0,"",2,"04/01/2011",NA,NA
"1.13.104.964",1,13,"104","964",0,"",1,"09/30/09",NA,NA
"1.13.104.964",1,13,"104","964",0,"",2,"03/31/11",NA,NA
"1.13.104.966",1,13,"104","966",0,"2",1,"09/24/09",NA,NA
"1.13.104.966",1,13,"104","966",0,"",2,"04/01/2011",NA,NA
"1.13.104.967",1,13,"104","967",0,"",1,"09/24/09",NA,NA
"1.13.104.967",1,13,"104","967",0,"",2,"03/30/11",NA,NA
"1.13.104.968",1,13,"104","968",0,"",1,"09/24/09",NA,NA
"1.13.104.968",1,13,"104","968",0,"",2,"03/31/11",NA,NA
"1.13.104.969",1,13,"104","969",0,"",1,"09/30/09",NA,NA
"1.13.104.970",1,13,"104","970",0,"",2,"04/01/2011",NA,NA
"1.13.104.971",1,13,"104","971",0,"",1,"09/25/09",NA,NA
"1.13.104.971",1,13,"104","971",0,"",2,"04/01/2011",NA,NA
"1.13.104.972",1,13,"104","972",0,"",1,"09/23/09",NA,NA
"1.13.104.972",1,13,"104","972",0,"",2,"03/30/11",NA,NA
"1.13.104.973",1,13,"104","973",0,"",1,"09/23/09",NA,NA
"1.13.104.973",1,13,"104","973",0,"",2,"03/30/11",NA,NA
"1.13.104.974",1,13,"104","974",0,"",1,"09/24/09",NA,NA
"1.13.104.977",1,13,"104","977",0,"",2,"03/31/11",NA,NA
"1.13.104.979",1,13,"104","979",0,"",1,"09/25/09",NA,NA
"1.13.104.979",1,13,"104","979",0,"",2,"03/29/11",NA,NA
"1.13.104.980",1,13,"104","980",0,"",1,"09/30/09",NA,NA
"1.13.104.980",1,13,"104","980",0,"",2,"03/30/11",NA,NA
"1.13.104.980A",1,13,"104","980A",0,"",1,"09/30/09",NA,NA
"1.13.104.980A",1,13,"104","980A",0,"",2,"03/30/11",NA,NA
"1.13.104.981",1,13,"104","981",0,"",1,"09/24/09",NA,NA
"1.13.104.981",1,13,"104","981",0,"",2,"03/29/11",NA,NA
"1.13.104.982",1,13,"104","982",0,"",1,"09/30/09",NA,NA
"1.13.104.983",1,13,"104","983",0,"",1,"10/04/2009",NA,NA
"1.13.104.983",1,13,"104","983",0,"",2,"03/29/11",NA,NA
"1.13.104.984",1,13,"104","984",0,"",1,"10/01/2009",NA,NA
"1.13.104.984",1,13,"104","984",0,"",2,"03/29/11",NA,NA
"1.13.104.985",1,13,"104","985",0,"",2,"03/29/11",NA,NA
"1.13.104.986",1,13,"104","986",0,"",1,"09/25/09",NA,NA
"1.13.104.986",1,13,"104","986",0,"",2,"03/29/11",NA,NA
"1.13.104.987",1,13,"104","987",0,"",1,"09/23/09",NA,NA
