"UNICODE","P","D","L","V","P_TRIAT","I_TRIAT","FECHA","CICLO"
"1.11.14.2",1,11,"14","2",0,"","05/27/14",2
"1.11.14.65",1,11,"14","65",0,"","05/27/14",2
"1.11.14.106",1,11,"14","106",0,"","05/27/14",2
"1.11.14.10",1,11,"14","10",0,"","05/27/14",2
"1.11.14.8",1,11,"14","8",0,"","05/27/14",2
"1.11.14.496",1,11,"14","496",0,"","05/27/14",2
"1.11.14.25",1,11,"14","25",0,"","05/27/14",2
"1.11.14.27A",1,11,"14","27A",0,"","05/27/14",2
"1.11.14.6",1,11,"14","6",0,"","05/28/14",2
"1.11.14.207",1,11,"14","207",0,"","05/28/14",2
"1.11.14.211",1,11,"14","211",0,"","05/28/14",2
"1.11.14.51",1,11,"14","51",0,"","05/28/14",2
"1.11.14.126",1,11,"14","126",0,"","05/28/14",2
"1.11.14.569",1,11,"14","569",0,"","05/28/14",2
"1.11.14.515",1,11,"14","515",0,"","05/28/14",2
"1.11.14.46",1,11,"14","46",0,"","05/28/14",2
"1.11.14.39",1,11,"14","39",0,"","05/28/14",2
"1.11.14.516",1,11,"14","516",0,"","05/28/14",2
"1.11.14.67",1,11,"14","67",0,"","05/28/14",2
"1.11.14.125",1,11,"14","125",0,"","05/28/14",2
"1.11.14.167",1,11,"14","167",0,"","05/28/14",2
"1.11.14.124",1,11,"14","124",0,"","05/28/14",2
"1.11.14.130",1,11,"14","130",0,"","05/28/14",2
"1.11.14.48",1,11,"14","48",0,"","05/28/14",2
"1.11.14.79A",1,11,"14","79A",0,"","05/28/14",2
"1.11.14.79",1,11,"14","79",0,"","05/28/14",2
"1.11.9.823",1,11,"9","823",0,"","05/29/14",2
"1.11.9.824",1,11,"9","824",0,"","05/29/14",2
"1.11.9.835",1,11,"9","835",0,"","05/29/14",2
"1.11.9.843",1,11,"9","843",0,"","05/29/14",2
"1.11.9.826",1,11,"9","826",0,"","05/29/14",2
"1.11.9.791",1,11,"9","791",0,"","05/29/14",2
"1.11.9.865A",1,11,"9","865A",0,"","05/29/14",2
"1.11.9.865",1,11,"9","865",0,"","05/29/14",2
"1.11.9.844",1,11,"9","844",0,"","05/29/14",2
"1.11.9.672",1,11,"9","672",0,"","05/29/14",2
"1.11.9.839A",1,11,"9","839A",0,"","05/29/14",2
"1.11.9.822",1,11,"9","822",0,"","05/29/14",2
"1.11.9.774",1,11,"9","774",0,"","05/29/14",2
"1.11.9.838",1,11,"9","838",0,"","05/29/14",2
"1.11.9.848",1,11,"9","848",0,"","05/29/14",2
"1.11.9.852",1,11,"9","852",0,"","05/29/14",2
"1.11.9.851",1,11,"9","851",0,"","05/29/14",2
"1.11.9.850",1,11,"9","850",0,"","05/29/14",2
"1.11.9.849A",1,11,"9","849A",0,"","05/29/14",2
"1.11.5.6",1,11,"5","6",0,"","05/29/14",2
"1.11.5.38B",1,11,"5","38B",0,"","05/29/14",2
"1.11.5.41",1,11,"5","41",0,"","05/29/14",2
"1.11.5.44",1,11,"5","44",0,"","05/29/14",2
"1.11.5.59",1,11,"5","59",0,"","05/29/14",2
"1.11.14.70",1,11,"14","70",0,"","05/29/14",2
"1.11.14.23",1,11,"14","23",0,"","05/29/14",2
"1.11.14.96",1,11,"14","96",0,"","05/29/14",2
"1.11.14.31",1,11,"14","31",0,"","05/29/14",2
"1.11.14.28",1,11,"14","28",0,"","05/29/14",2
"1.11.14.58",1,11,"14","58",0,"","05/29/14",2
"1.11.14.69",1,11,"14","69",0,"","05/29/14",2
"1.11.14.121",1,11,"14","121",0,"","05/29/14",2
"1.11.16.5",1,11,"16","5",0,"","05/29/14",2
"1.11.16.23",1,11,"16","23",0,"","05/29/14",2
"1.11.16.45",1,11,"16","45",0,"","05/29/14",2
"1.11.16.30",1,11,"16","30",0,"","05/29/14",2
"1.11.16.16",1,11,"16","16",0,"","05/29/14",2
"1.11.16.21",1,11,"16","21",0,"","05/29/14",2
